thread_id,sample_idx,n,f,use_periodicity,strategy_count,start_idx,log_up,log_down,sigma_step,steps,z_max,p_single,p_combined,log_wealths,z_values
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,52.55365687286818,0,0,-5132.172197625704|-5406.288367627461|-5114.513176424982|-4959.194058137564,-49.88901781516673|-52.55365687286818|-49.717357319501986|-48.20752523263986
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.30521690440053,0,0,-5277.8591225316295|-5260.601442721604|-5136.98829431719|-4992.30472288839,-51.30521690440053|-51.137457783635035|-49.935834313988074|-48.52938866200612
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.927486201184024,0,0,-5341.873074384124|-5196.587490869177|-5122.740674939188|-5309.966433805219,-51.927486201184024|-50.5151884868522|-49.79733550498442|-51.61732689651386
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.394948527131234,0,0,-5251.370590730518|-5287.089974522593|-5103.676958870189|-5152.239267172093,-51.047726160903146|-51.394948527131234|-49.61202019716416|-50.0840865602414
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,54.363894827143625,0,0,-5450.837262019864|-5087.623303233147|-5042.071055363095|-5592.510773016145,-52.98670948692832|-49.455965201105094|-49.01315914978802|-54.363894827143625
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.24669628087365,0,0,-5266.62156358597|-5271.839001667252|-5197.590844346709|-5111.302445297981,-51.1959784071618|-51.24669628087365|-50.524941924108|-49.686146320294135
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,52.918435426153614,0,0,-5094.646777574474|-5443.813787678776|-5055.114650568202|-5221.871998497524,-49.524239261882116|-52.918435426153614|-49.13995383408611|-50.760975105645294
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.68755164473831,0,0,-5221.269986411517|-5317.190578841669|-5060.532759345801|-5216.052548329353,-50.75512304329679|-51.68755164473831|-49.192622395257|-50.704405169576376
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.38714577733057,0,0,-5252.173273512201|-5286.287291740977|-5127.958113020976|-5262.206808285259,-51.05552891070446|-51.38714577733057|-49.84805337870118|-51.15306328324047
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.8026422043383,0,0,-5329.030149874648|-5209.430415378561|-5188.962004441356|-5125.148723285075,-51.8026422043383|-50.64003248369703|-50.44106236372195|-49.820743754396496
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.98210544980575,0,0,-5190.968711395877|-5347.491853857197|-5174.71438506355|-5100.466227742613,-50.460569238228274|-51.98210544980575|-50.302563554720194|-49.58080919795072
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,52.78773936695588,0,0,-5108.091714170094|-5430.3688510829315|-5027.422094594238|-5296.521497209128,-49.654935321077666|-52.78773936695588|-48.870758965883574|-51.486630837313726
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,51.45151846320324,0,0,-5292.307412604812|-5246.153152648365|-5058.124711000425|-5292.909424691082,-51.44566640085219|-50.99700828718284|-49.169214145849885|-51.45151846320324
0,1,1048576,0.1,false,4,8,0.09531017980432493,-0.10536051565782628,0.10046110847988839,1048568,52.16937144507421,0,0,-5366.756240621398|-5171.704324631834|-5058.927393782154|-5224.480717538382,-52.16937144507421|-50.273303242961354|-49.17701689565164|-50.78633404250333
