thread_id,sample_idx,n,total,k,top_sum,expected,chi2,df,p_value,top_freq
0,1,131072,131071,16,147,9.1875,0.26530612244897955,15,0.9999999999833123,10|10|10|9|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,151,9.4375,0.4172185430463574,15,0.9999999995344429,10|10|10|10|10|10|10|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,141,8.8125,0.5035460992907801,15,0.9999999981632595,10|9|9|9|9|9|9|9|9|9|9|9|8|8|8|8
0,1,131072,131071,16,148,9.25,0.9729729729729736,15,0.9999997910753169,12|10|9|9|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,151,9.4375,0.4172185430463574,15,0.9999999995344429,10|10|10|10|10|10|10|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,145,9.0625,0.5448275862068964,15,0.9999999967430333,10|10|10|9|9|9|9|9|9|9|9|9|9|9|8|8
0,1,131072,131071,16,146,9.125,0.19178082191780832,15,0.9999999999984885,10|10|9|9|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,148,9.25,0.3243243243243242,15,0.9999999999266586,10|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,150,9.375,0.8266666666666668,15,0.9999999343729256,11|11|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,149,9.3125,0.5838926174496644,15,0.9999999946184256,11|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,142,8.875,0.647887323943662,15,0.9999999885858256,10|10|9|9|9|9|9|9|9|9|9|9|8|8|8|8
0,1,131072,131071,16,151,9.4375,0.6291390728476819,15,0.999999990766296,11|10|10|10|10|10|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,145,9.0625,0.10344827586206898,15,0.9999999999999847,10|9|9|9|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,145,9.0625,0.7655172413793102,15,0.999999962118779,10|10|10|10|9|9|9|9|9|9|9|9|9|8|8|8
0,1,131072,131071,16,137,8.5625,0.9270072992700727,15,0.9999998517103014,10|10|9|9|9|9|9|8|8|8|8|8|8|8|8|8
0,1,131072,131071,16,148,9.25,0.3243243243243242,15,0.9999999999266586,10|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,141,8.8125,2.319148936170212,15,0.9999216436359699,12|11|9|9|9|9|9|9|8|8|8|8|8|8|8|8
0,1,131072,131071,16,153,9.5625,0.8300653594771241,15,0.9999999324229426,11|11|10|10|10|10|10|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,150,9.375,0.6133333333333335,15,0.9999999923172491,11|10|10|10|10|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,143,8.9375,0.776223776223776,15,0.99999995815704,10|10|10|9|9|9|9|9|9|9|9|9|8|8|8|8
0,1,131072,131071,16,140,8.75,1.0285714285714285,15,0.9999996906799006,11|9|9|9|9|9|9|9|9|9|8|8|8|8|8|8
0,1,131072,131071,16,150,9.375,0.8266666666666668,15,0.9999999343729256,11|11|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,153,9.5625,0.8300653594771241,15,0.9999999324229426,11|11|10|10|10|10|10|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,143,8.9375,0.1048951048951049,15,0.999999999999983,9|9|9|9|9|9|9|9|9|9|9|9|9|9|9|8
0,1,131072,131071,16,144,9,0.4444444444444444,15,0.9999999992609484,10|10|9|9|9|9|9|9|9|9|9|9|9|9|8|8
0,1,131072,131071,16,148,9.25,0.3243243243243242,15,0.9999999999266586,10|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,148,9.25,1.1891891891891897,15,0.9999991439925913,11|11|10|10|9|9|9|9|9|9|9|9|9|9|8|8
0,1,131072,131071,16,148,9.25,0.3243243243243242,15,0.9999999999266586,10|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,139,8.6875,0.6258992805755396,15,0.99999999110435,10|9|9|9|9|9|9|9|9|9|8|8|8|8|8|8
0,1,131072,131071,16,146,9.125,0.41095890410958913,15,0.9999999995831976,10|10|10|9|9|9|9|9|9|9|9|9|9|9|9|8
0,1,131072,131071,16,146,9.125,0.19178082191780832,15,0.9999999999984885,10|10|9|9|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,149,9.3125,0.5838926174496644,15,0.9999999946184256,11|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,144,9,1.3333333333333337,15,0.9999981044128334,11|10|10|10|9|9|9|9|9|9|9|8|8|8|8|8
0,1,131072,131071,16,139,8.6875,0.8561151079136693,15,0.9999999157666568,10|10|9|9|9|9|9|9|9|8|8|8|8|8|8|8
0,1,131072,131071,16,144,9,0.6666666666666667,15,0.9999999859740978,10|10|10|9|9|9|9|9|9|9|9|9|9|8|8|8
0,1,131072,131071,16,149,9.3125,1.442953020134229,15,0.9999967320042072,11|11|11|10|9|9|9|9|9|9|9|9|9|9|8|8
0,1,131072,131071,16,143,8.9375,0.7762237762237759,15,0.99999995815704,11|9|9|9|9|9|9|9|9|9|9|9|9|8|8|8
0,1,131072,131071,16,151,9.4375,0.6291390728476819,15,0.999999990766296,11|10|10|10|10|10|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,147,9.1875,0.26530612244897955,15,0.9999999999833123,10|10|10|9|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,149,9.3125,0.3691275167785234,15,0.9999999998102156,10|10|10|10|10|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,151,9.4375,0.8410596026490065,15,0.9999999257728752,11|11|10|10|10|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,144,9,0.2222222222222222,15,0.9999999999954976,10|9|9|9|9|9|9|9|9|9|9|9|9|9|9|8
0,1,131072,131071,16,145,9.0625,0.3241379310344826,15,0.9999999999269681,10|10|9|9|9|9|9|9|9|9|9|9|9|9|9|8
0,1,131072,131071,16,145,9.0625,0.10344827586206898,15,0.9999999999999847,10|9|9|9|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,145,9.0625,0.7655172413793102,15,0.999999962118779,11|10|9|9|9|9|9|9|9|9|9|9|9|9|8|8
0,1,131072,131071,16,140,8.75,0.34285714285714286,15,0.9999999998896407,9|9|9|9|9|9|9|9|9|9|9|9|8|8|8|8
0,1,131072,131071,16,142,8.875,0.873239436619718,15,0.9999999030093236,10|10|10|9|9|9|9|9|9|9|9|8|8|8|8|8
0,1,131072,131071,16,151,9.4375,1.0529801324503314,15,0.999999635115312,12|10|10|10|10|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,149,9.3125,0.5838926174496644,15,0.9999999946184256,11|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,143,8.9375,0.776223776223776,15,0.99999995815704,10|10|10|9|9|9|9|9|9|9|9|9|8|8|8|8
0,1,131072,131071,16,137,8.5625,0.45985401459854003,15,0.9999999990521287,9|9|9|9|9|9|9|9|9|8|8|8|8|8|8|8
0,1,131072,131071,16,145,9.0625,0.5448275862068963,15,0.9999999967430333,11|9|9|9|9|9|9|9|9|9|9|9|9|9|9|8
0,1,131072,131071,16,149,9.3125,0.5838926174496644,15,0.9999999946184256,11|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,152,9.5,0.6315789473684207,15,0.9999999905045022,11|10|10|10|10|10|10|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,152,9.5,0.8421052631578944,15,0.9999999251123115,11|11|10|10|10|10|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,148,9.25,0.7567567567567572,15,0.999999965117763,11|10|10|10|9|9|9|9|9|9|9|9|9|9|9|8
0,1,131072,131071,16,148,9.25,0.3243243243243242,15,0.9999999999266586,10|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
0,1,131072,131071,16,150,9.375,1.0399999999999998,15,0.9999996656320757,12|10|10|10|9|9|9|9|9|9|9|9|9|9|9|9
