thread_id,sample_idx,mode,n,drift,stat,p_value,rates
0,1,global,131072,0.008332963277423389,0.4148175567954568,0.5574450133426312,7.990072414656612|7.994581799410984|7.997070814840371|7.998405377934035
0,1,global,131072,0.009677808204485494,0.48176436411238077,0.4956703526652846,7.988666551947662|7.993153336296432|7.997118799723749|7.998344360152148
0,1,global,131072,0.00850912727216624,0.4235870563674209,0.5491444085603336,7.990349942394469|7.9948742908701895|7.997379258769198|7.9988590696666355
0,1,global,131072,0.0114501290965352,0.5699910606453492,0.4201913654816096,7.987041984803026|7.993384926048906|7.996935023556103|7.9984921138995615
0,1,global,131072,0.008264751051543229,0.4114219305408866,0.5606754040000359,7.990220631331608|7.994236435518558|7.99719365921378|7.998485382383151
0,1,global,131072,0.009065179981853078,0.45126753674427783,0.5233507519666922,7.98945392857819|7.994169559210088|7.997226114604297|7.998519108560043
0,1,global,131072,0.010935756135334707,0.5443854113771085,0.4413725898223668,7.987713241175681|7.993780967277965|7.997271020559426|7.998648997311015
0,1,global,131072,0.011009792325908485,0.5480709564426274,0.43828671723784796,7.987663616227397|7.993989288223549|7.99729966320117|7.998673408553305
0,1,global,131072,0.008178898826730396,0.4071481795405912,0.5647540296757927,7.990216013436432|7.994319174745688|7.997004230498263|7.998394912263162
0,1,global,131072,0.009694318531458634,0.48258625342940775,0.49493533446191784,7.988887319068585|7.995383721530961|7.997359297042255|7.998581637600044
0,1,global,131072,0.009152306306144276,0.4556047128209998,0.5193662943753254,7.989518655344151|7.994822224044455|7.997358754714047|7.998670961650295
0,1,global,131072,0.009839142928345979,0.48979565787307633,0.48851297895931856,7.988753636003801|7.994801565735006|7.997374634942553|7.998592778932147
0,1,global,131072,0.009072419343720384,0.45162791447577344,0.5230190852248522,7.989831168810143|7.995413496012052|7.997647919234764|7.998903588153864
0,1,global,131072,0.008799727590047546,0.4380532324267951,0.5355863714433944,7.989645455212091|7.994936724337949|7.997261598984843|7.998445182802138
0,1,global,131072,0.011261818579317406,0.5606169033293306,0.4278755705636239,7.987307335718843|7.993753153054833|7.996873937541254|7.998569154298161
0,1,global,131072,0.010027852577085383,0.49918968408292347,0.48021236371710896,7.988690889758413|7.994322758636872|7.997521739514054|7.998718742335498
0,1,global,131072,0.008574186225334124,0.42682571170553935,0.5460944118884177,7.990023652142818|7.994645936912316|7.996978709527299|7.998597838368152
0,1,global,131072,0.009349951531681278,0.4654435548799435,0.5103859899431007,7.989321893218983|7.9945550835668735|7.997209296319056|7.998671844750664
0,1,global,131072,0.007239893980078627,0.36040422023832236,0.6102696723601038,7.991552342795452|7.995960686179426|7.997972302546966|7.998792236775531
0,1,global,131072,0.011119967133756958,0.5535554933463162,0.4337176086468848,7.987595802242722|7.994887628279179|7.997022723944866|7.998715769376479
0,1,global,131072,0.009499356859585362,0.47288099952359247,0.5036518219318276,7.9887386201733035|7.9938240982629605|7.9966920069045555|7.998237977032889
0,1,global,131072,0.010993842773277862,0.5472769826503582,0.4389504538205766,7.9879185768004755|7.9947215461740235|7.997596915069593|7.998912419573753
0,1,global,131072,0.009909348722509925,0.4932905245895631,0.4854158901924279,7.988799474126173|7.994280084055452|7.997262508876991|7.998708822848683
0,1,global,131072,0.010204307600554685,0.5079736711572616,0.4725208698016823,7.988385317786086|7.993774339875386|7.99734397219406|7.998589625386641
0,1,global,131072,0.010246545687785158,0.5100762965457747,0.47068986963748616,7.988289144762747|7.99382713114283|7.996942346017651|7.998535690450532
0,1,global,131072,0.009462545523752475,0.4710485195420778,0.5053066581936836,7.989048414057292|7.994569612378899|7.997033767907316|7.998510959581044
0,1,global,131072,0.010295560662367365,0.5125162775376109,0.46857001333181936,7.988293287760654|7.994161980694812|7.997098894845071|7.998588848423021
0,1,global,131072,0.009752144470025925,0.48546484700498205,0.49236559813736847,7.98882207141849|7.994586528019171|7.997158477157569|7.998574215888516
0,1,global,131072,0.008308327543629979,0.413591182147949,0.5586106651803424,7.990461656960602|7.994968178195208|7.997424664044486|7.998769984504232
0,1,global,131072,0.010028935916245096,0.499243613050141,0.4801649347648156,7.988346402444437|7.994189781539405|7.997230482676731|7.998375338360682
0,1,global,131072,0.010205113967248991,0.5080138123472413,0.4724858775177083,7.988396936510812|7.994343327386698|7.997042766753536|7.998602050478061
0,1,global,131072,0.009225989862629014,0.4592727036496418,0.5160088632047255,7.989469682137644|7.994457888976213|7.997313461853041|7.998695672000273
0,1,global,131072,0.008175553296706717,0.4069816379941562,0.5649132559732577,7.990513428041788|7.995242331394013|7.997248259807875|7.9986889813384945
0,1,global,131072,0.010337631432211225,0.5146105738135127,0.46675471072150754,7.988262129459543|7.994540373960709|7.996983192608166|7.9985997608917545
0,1,global,131072,0.009321785771565949,0.464041454401716,0.5116607635360455,7.989111614421115|7.994936138299418|7.997531086474617|7.998433400192681
0,1,global,131072,0.011218606825143418,0.5584658084913315,0.4296503423114546,7.987513841603339|7.9939189230530125|7.9969634649512225|7.998732448428482
0,1,global,131072,0.00932841845363619,0.4643716314203562,0.5113604208703793,7.989503525117592|7.994381738432594|7.997064599688382|7.998831943571228
0,1,global,131072,0.008881213421625844,0.44210962298600176,0.5318151302201661,7.989659186473832|7.99479223112521|7.997385906515818|7.998540399895458
0,1,global,131072,0.010438127171141787,0.5196132835943746,0.462434275633806,7.9884255200251|7.994866976221635|7.997571928831319|7.9988636471962415
