thread_id,sample_idx,n,factors,c_n,expected,variance,z,p_value,factor_lengths
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
0,1,131072,1,1,7710.117647058823,7710.117647058823,-87.7958870150449,0,131072
