thread_id,sample_idx,n,d,min_n,bins,m,h,h_max,h_norm,expected,deviation,stat,p_value,num_patterns
0,1,131072,4,20000,24,131069,3.1779465688602135,3.1780538303479458,0.9999662493168907,0.99,0.009966249316890718,21.648758248475776,0,24
0,1,131072,4,20000,24,131069,3.1779154574804704,3.1780538303479458,0.999956459872972,0.99,0.009956459872972001,21.627493548181334,0,24
0,1,131072,4,20000,24,131069,3.17784742307096,3.1780538303479458,0.9999350523030747,0.99,0.009935052303074676,21.580991871305855,0,24
0,1,131072,4,20000,24,131069,3.177902423345239,3.1780538303479458,0.9999523585783031,0.99,0.009952358578303122,21.61858468648531,0,24
0,1,131072,4,20000,24,131069,3.177945653852346,3.1780538303479458,0.999965961402363,0.99,0.009965961402363055,21.648132838473735,0,24
0,1,131072,4,20000,24,131069,3.1779436224641504,3.1780538303479458,0.9999653222098559,0.99,0.009965322209855909,21.646744379925142,0,24
0,1,131072,4,20000,24,131069,3.177962820689244,3.1780538303479458,0.999971363084592,0.99,0.009971363084592011,21.659866411354713,0,24
0,1,131072,4,20000,24,131069,3.1779370937580427,3.1780538303479458,0.9999632679003772,0.99,0.00996326790037716,21.64228199414099,0,24
0,1,131072,4,20000,24,131069,3.177926416207293,3.1780538303479458,0.9999599081238222,0.99,0.009959908123822192,21.634983863410493,0,24
0,1,131072,4,20000,24,131069,3.1778959642623428,3.1780538303479458,0.9999503261763235,0.99,0.00995032617632352,21.614169888327936,0,24
0,1,131072,4,20000,24,131069,3.177997066358427,3.1780538303479458,0.9999821387576961,0.99,0.009982138757696157,21.68327340575941,0,24
0,1,131072,4,20000,24,131069,3.177879481219081,3.1780538303479458,0.9999451396552193,0.99,0.00994513965521926,21.602903689985247,0,24
0,1,131072,4,20000,24,131069,3.1779157308675856,3.1780538303479458,0.9999565458964095,0.99,0.009956545896409486,21.62768040890924,0,24
0,1,131072,4,20000,24,131069,3.177919870574942,3.1780538303479458,0.9999578484883659,0.99,0.009957848488365895,21.630509908499715,0,24
0,1,131072,4,20000,24,131069,3.177923031800751,3.1780538303479458,0.9999588431932948,0.99,0.009958843193294764,21.632670613680666,0,24
0,1,131072,4,20000,24,131069,3.1779750010454304,3.1780538303479458,0.9999751957308707,0.99,0.00997519573087069,21.668191713090685,0,24
0,1,131072,4,20000,24,131069,3.1779551064747946,3.1780538303479458,0.9999689357454526,0.99,0.009968935745452656,21.654593727866263,0,24
0,1,131072,4,20000,24,131069,3.177970239988973,3.1780538303479458,0.999973697626461,0.99,0.009973697626461053,21.66493751994701,0,24
0,1,131072,4,20000,24,131069,3.177853619365472,3.1780538303479458,0.9999370020165921,0.99,0.00993700201659209,21.585227052992586,0,24
0,1,131072,4,20000,24,131069,3.1779530597175527,3.1780538303479458,0.9999682917169525,0.99,0.00996829171695246,21.65319476453888,0,24
0,1,131072,4,20000,24,131069,3.177897377768051,3.1780538303479458,0.999950770947175,0.99,0.009950770947175003,21.615136022761618,0,24
0,1,131072,4,20000,24,131069,3.177913185508554,3.1780538303479458,0.9999557449788771,0.99,0.009955744978877079,21.625940650100812,0,24
0,1,131072,4,20000,24,131069,3.177914536924794,3.1780538303479458,0.9999561702127818,0.99,0.009956170212781834,21.626864346238687,0,24
0,1,131072,4,20000,24,131069,3.1779184381973833,3.1780538303479458,0.999957397779336,0.99,0.009957397779336019,21.629530875112337,0,24
0,1,131072,4,20000,24,131069,3.1778922848566995,3.1780538303479458,0.9999491684219746,0.99,0.009949168421974575,21.61165500602723,0,24
0,1,131072,4,20000,24,131069,3.1779093401686853,3.1780538303479458,0.9999545350119999,0.99,0.009954535011999943,21.623312351371883,0,24
0,1,131072,4,20000,24,131069,3.177868802885903,3.1780538303479458,0.9999417796324669,0.99,0.009941779632466896,21.595605024463005,0,24
0,1,131072,4,20000,24,131069,3.177902351938351,3.1780538303479458,0.999952336109556,0.99,0.009952336109556037,21.618535879711736,0,24
0,1,131072,4,20000,24,131069,3.1778895164028347,3.1780538303479458,0.9999482973058725,0.99,0.009948297305872544,21.609762761382374,0,24
0,1,131072,4,20000,24,131069,3.177980191004795,3.1780538303479458,0.9999768287930029,0.99,0.009976828793002879,21.671739062367266,0,24
0,1,131072,4,20000,24,131069,3.1778405679652124,3.1780538303479458,0.9999328952893445,0.99,0.00993289528934449,21.576306390610092,0,24
0,1,131072,4,20000,24,131069,3.177862031564086,3.1780538303479458,0.9999396489820191,0.99,0.009939648982019156,21.59097681027846,0,24
0,1,131072,4,20000,24,131069,3.17792845451501,3.1780538303479458,0.999960549493612,0.99,0.009960549493612025,21.636377051468155,0,24
0,1,131072,4,20000,24,131069,3.1778680030829087,3.1780538303479458,0.999941527968072,0.99,0.009941527968072017,21.595058357259397,0,24
0,1,131072,4,20000,24,131069,3.1779668722877927,3.1780538303479458,0.9999726379524089,0.99,0.00997263795240888,21.662635688370433,0,24
0,1,131072,4,20000,24,131069,3.177882401309406,3.1780538303479458,0.9999460584849436,0.99,0.009946058484943565,21.604899578502636,0,24
0,1,131072,4,20000,24,131069,3.177933664796782,3.1780538303479458,0.9999621889503518,0.99,0.009962188950351836,21.63993829115728,0,24
0,1,131072,4,20000,24,131069,3.177848258085937,3.1780538303479458,0.999935315047201,0.99,0.009935315047201021,21.58156260598162,0,24
0,1,131072,4,20000,24,131069,3.1779285350585855,3.1780538303479458,0.9999605748372907,0.99,0.009960574837290737,21.63643210318883,0,24
0,1,131072,4,20000,24,131069,3.177826198272897,3.1780538303479458,0.9999283737509808,0.99,0.009928373750980768,21.566484672545954,0,24
0,1,131072,4,20000,24,131069,3.1779303372950487,3.1780538303479458,0.9999611419253766,0.99,0.00996114192537656,21.637663935996258,0,24
0,1,131072,4,20000,24,131069,3.1779507946268177,3.1780538303479458,0.9999675789880762,0.99,0.009967578988076209,21.651646569761883,0,24
0,1,131072,4,20000,24,131069,3.177915235401993,3.1780538303479458,0.9999563899942068,0.99,0.009956389994206782,21.62734175702633,0,24
0,1,131072,4,20000,24,131069,3.1779707453901023,3.1780538303479458,0.9999738566549596,0.99,0.009973856654959645,21.665282962792276,0,24
0,1,131072,4,20000,24,131069,3.1779265859427195,3.1780538303479458,0.9999599615324287,0.99,0.00995996153242873,21.635099877968685,0,24
0,1,131072,4,20000,24,131069,3.177836790066845,3.1780538303479458,0.9999317065434737,0.99,0.00993170654347375,21.573724188303466,0,24
0,1,131072,4,20000,24,131069,3.1778317967476455,3.1780538303479458,0.9999301353557388,0.99,0.009930135355738834,21.57031124303643,0,24
0,1,131072,4,20000,24,131069,3.177943202486465,3.1780538303479458,0.9999651900605255,0.99,0.009965190060525542,21.646457324201883,0,24
0,1,131072,4,20000,24,131069,3.177980320026928,3.1780538303479458,0.9999768693908467,0.99,0.009976869390846743,21.671827249294893,0,24
0,1,131072,4,20000,24,131069,3.177954681758678,3.1780538303479458,0.9999688021051372,0.99,0.009968802105137176,21.65430343341445,0,24
0,1,131072,4,20000,24,131069,3.1779586610407957,3.1780538303479458,0.9999700542180119,0.99,0.009970054218011892,21.657023281981612,0,24
0,1,131072,4,20000,24,131069,3.1779765530885387,3.1780538303479458,0.9999756840936207,0.99,0.009975684093620707,21.66925253815903,0,24
0,1,131072,4,20000,24,131069,3.1778876281861876,3.1780538303479458,0.9999477031634357,0.99,0.00994770316343574,21.608472160919696,0,24
0,1,131072,4,20000,24,131069,3.1779424987852662,3.1780538303479458,0.9999649686353276,0.99,0.009964968635327587,21.64597634279873,0,24
0,1,131072,4,20000,24,131069,3.1777964195379087,3.1780538303479458,0.9999190036343693,0.99,0.009919003634369261,21.54613083803584,0,24
0,1,131072,4,20000,24,131069,3.1779474730751027,3.1780538303479458,0.9999665338353216,0.99,0.009966533835321645,21.649376281452124,0,24
0,1,131072,4,20000,24,131069,3.1779325059543253,3.1780538303479458,0.9999618243113247,0.99,0.009961824311324752,21.639146219647294,0,24
0,1,131072,4,20000,24,131069,3.1779210161276086,3.1780538303479458,0.9999582089456545,0.99,0.009958208945654468,21.63129289640731,0,24
0,1,131072,4,20000,24,131069,3.1778665863539883,3.1780538303479458,0.999941082183011,0.99,0.00994108218301104,21.594090019752578,0,24
0,1,131072,4,20000,24,131069,3.1778901189580333,3.1780538303479458,0.9999484869046744,0.99,0.009948486904674425,21.61017460925971,0,24
0,1,131072,4,20000,24,131069,3.1779281605540497,3.1780538303479458,0.9999604569964499,0.99,0.009960456996449873,21.6361761284691,0,24
0,1,131072,4,20000,24,131069,3.1778841587852025,3.1780538303479458,0.9999466114887284,0.99,0.00994661148872844,21.60610081729053,0,24
0,1,131072,4,20000,24,131069,3.177929316775359,3.1780538303479458,0.999960820810712,0.99,0.009960820810712034,21.6369664084188,0,24
0,1,131072,4,20000,24,131069,3.1779208830143877,3.1780538303479458,0.9999581670605172,0.99,0.00995816706051722,21.63120191321176,0,24
0,1,131072,4,20000,24,131069,3.1779368917645194,3.1780538303479458,0.9999632043415031,0.99,0.009963204341503107,21.6421439310989,0,24
0,1,131072,4,20000,24,131069,3.1779574754150333,3.1780538303479458,0.9999696811514039,0.99,0.009969681151403953,21.65621290402005,0,24
0,1,131072,4,20000,24,131069,3.1779071661834433,3.1780538303479458,0.9999538509501941,0.99,0.009953850950194076,21.621826427410788,0,24
0,1,131072,4,20000,24,131069,3.177942642454451,3.1780538303479458,0.999965013841983,0.99,0.009965013841983006,21.64607454101987,0,24
0,1,131072,4,20000,24,131069,3.1779805220086774,3.1780538303479458,0.9999769329460161,0.99,0.009976932946016093,21.671965304289603,0,24
0,1,131072,4,20000,24,131069,3.177951343108486,3.1780538303479458,0.9999677515722103,0.99,0.009967751572210304,21.652021458255817,0,24
0,1,131072,4,20000,24,131069,3.17796004778116,3.1780538303479458,0.9999704905669343,0.99,0.009970490566934331,21.65797112224062,0,24
0,1,131072,4,20000,24,131069,3.177908678105701,3.1780538303479458,0.9999543266885983,0.99,0.009954326688598303,21.62285982978465,0,24
0,1,131072,4,20000,24,131069,3.177912120735016,3.1780538303479458,0.9999554099393859,0.99,0.009955409939385929,21.625212874915086,0,24
0,1,131072,4,20000,24,131069,3.1778758332130095,3.1780538303479458,0.9999439917809961,0.99,0.009943991780996142,21.600410269364737,0,24
0,1,131072,4,20000,24,131069,3.177920714186207,3.1780538303479458,0.9999581139373828,0.99,0.009958113937382773,21.631086518758096,0,24
0,1,131072,4,20000,24,131069,3.1779493837690316,3.1780538303479458,0.9999671350504146,0.99,0.009967135050414577,21.65068224518917,0,24
0,1,131072,4,20000,24,131069,3.1779946435796633,3.1780538303479458,0.9999813764110232,0.99,0.009981376411023257,21.681617430848654,0,24
0,1,131072,4,20000,24,131069,3.177888533101999,3.1780538303479458,0.9999479879024173,0.99,0.009947987902417355,21.609090672977835,0,24
0,1,131072,4,20000,24,131069,3.1778952964162426,3.1780538303479458,0.9999501160332184,0.99,0.009950116033218381,21.613713413967716,0,24
0,1,131072,4,20000,24,131069,3.1779861119405677,3.1780538303479458,0.9999786918626955,0.99,0.00997869186269551,21.675786035716357,0,24
0,1,131072,4,20000,24,131069,3.177899100304634,3.1780538303479458,0.9999513129570575,0.99,0.009951312957057534,21.616313380515987,0,24
0,1,131072,4,20000,24,131069,3.177918088013359,3.1780538303479458,0.9999572875911381,0.99,0.00995728759113812,21.62929152351854,0,24
