thread_id,sample_idx,n,m,sample_size,neighbors_per,r,r2,hits,trials,d2,expected,variance,z,p_value
0,1,131072,131070,4096,64,20,400,513,270656,0.001895394892409553,0.0020209615691274773,0.000000007451810724549196,-1.4545996963964916,0.03967506909312557
0,1,131072,131070,4096,64,20,400,458,270656,0.00169218491369118,0.0020209615691274773,0.000000007451810724549196,-3.808641238903036,0.00000007211156893838222
0,1,131072,131070,4096,64,20,400,525,270656,0.0019397316150390163,0.0020209615691274773,0.000000007451810724549196,-0.9409906325768811,0.18326755973914532
0,1,131072,131070,4096,64,20,400,492,270656,0.0018178056278079925,0.0020209615691274773,0.000000007451810724549196,-2.3534155580808083,0.00087410299965196
0,1,131072,131070,4096,64,20,400,503,270656,0.0018584476235516672,0.0020209615691274773,0.000000007451810724549196,-1.8826072495794983,0.007758449408214574
0,1,131072,131070,4096,64,20,400,496,270656,0.0018325845353511468,0.0020209615691274773,0.000000007451810724549196,-2.1822125368076057,0.0020280435252493234
0,1,131072,131070,4096,64,20,400,501,270656,0.0018510581697800898,0.0020209615691274773,0.000000007451810724549196,-1.9682087602161022,0.005378242485511553
0,1,131072,131070,4096,64,20,400,462,270656,0.0017069638212343344,0.0020209615691274773,0.000000007451810724549196,-3.637438217629833,0.00000026927303209411946
0,1,131072,131070,4096,64,20,400,464,270656,0.0017143532750059115,0.0020209615691274773,0.000000007451810724549196,-3.5518367069932317,0.0000005093806882960905
0,1,131072,131070,4096,64,20,400,486,270656,0.0017956372664932607,0.0020209615691274773,0.000000007451810724549196,-2.6102200899906145,0.00022307743031912963
0,1,131072,131070,4096,64,20,400,469,270656,0.0017328269094348545,0.0020209615691274773,0.000000007451810724549196,-3.3378329304017287,0.0000023565043756335058
0,1,131072,131070,4096,64,20,400,548,270656,0.002024710333412154,0.0020209615691274773,0.000000007451810724549196,0.0434267397440368,0.9510288188084206
0,1,131072,131070,4096,64,20,400,491,270656,0.0018141109009222039,0.0020209615691274773,0.000000007451810724549196,-2.396216313399109,0.0007021949505769953
0,1,131072,131070,4096,64,20,400,488,270656,0.0018030267202648381,0.0020209615691274773,0.000000007451810724549196,-2.524618579354011,0.00035658323114562407
0,1,131072,131070,4096,64,20,400,506,270656,0.001869531804209033,0.0020209615691274773,0.000000007451810724549196,-1.7542049836245963,0.013108058706613246
0,1,131072,131070,4096,64,20,400,450,270656,0.001662627098604871,0.0020209615691274773,0.000000007451810724549196,-4.1510472814494435,0.000000004359897776140542
0,1,131072,131070,4096,64,20,400,522,270656,0.0019286474343816506,0.0020209615691274773,0.000000007451810724549196,-1.069392898531783,0.130444914894281
0,1,131072,131070,4096,64,20,400,479,270656,0.0017697741782927406,0.0020209615691274773,0.000000007451810724549196,-2.9098253772187195,0.000038720190741692306
0,1,131072,131070,4096,64,20,400,498,270656,0.001839973989122724,0.0020209615691274773,0.000000007451810724549196,-2.0966110261710043,0.003026418581834056
0,1,131072,131070,4096,64,20,400,488,270656,0.0018030267202648381,0.0020209615691274773,0.000000007451810724549196,-2.524618579354011,0.00035658323114562407
0,1,131072,131070,4096,64,20,400,479,270656,0.0017697741782927406,0.0020209615691274773,0.000000007451810724549196,-2.9098253772187195,0.000038720190741692306
0,1,131072,131070,4096,64,20,400,444,270656,0.0016404587372901396,0.0020209615691274773,0.000000007451810724549196,-4.4078518133592475,0.00000000045761483491446597
0,1,131072,131070,4096,64,20,400,515,270656,0.0019027843461811302,0.0020209615691274773,0.000000007451810724549196,-1.3689981857598903,0.052860730546020473
0,1,131072,131070,4096,64,20,400,504,270656,0.0018621423504374558,0.0020209615691274773,0.000000007451810724549196,-1.8398064942611976,0.0092715163102417
0,1,131072,131070,4096,64,20,400,501,270656,0.0018510581697800898,0.0020209615691274773,0.000000007451810724549196,-1.9682087602161022,0.005378242485511553
0,1,131072,131070,4096,64,20,400,479,270656,0.0017697741782927406,0.0020209615691274773,0.000000007451810724549196,-2.9098253772187195,0.000038720190741692306
0,1,131072,131070,4096,64,20,400,448,270656,0.001655237644833294,0.0020209615691274773,0.000000007451810724549196,-4.236648792086045,0.0000000020862120919673544
0,1,131072,131070,4096,64,20,400,467,270656,0.0017254374556632773,0.0020209615691274773,0.000000007451810724549196,-3.4234344410383297,0.000001290576445711622
0,1,131072,131070,4096,64,20,400,454,270656,0.0016774060061480254,0.0020209615691274773,0.000000007451810724549196,-3.979844260176241,0.00000001824387485527268
0,1,131072,131070,4096,64,20,400,502,270656,0.0018547528966658784,0.0020209615691274773,0.000000007451810724549196,-1.9254080048978015,0.006470522387470812
0,1,131072,131070,4096,64,20,400,441,270656,0.0016293745566327738,0.0020209615691274773,0.000000007451810724549196,-4.5362540793141495,0.00000000014126699809935417
0,1,131072,131070,4096,64,20,400,502,270656,0.0018547528966658784,0.0020209615691274773,0.000000007451810724549196,-1.9254080048978015,0.006470522387470812
0,1,131072,131070,4096,64,20,400,475,270656,0.0017549952707495862,0.0020209615691274773,0.000000007451810724549196,-3.081028398491922,0.000013181916956872541
0,1,131072,131070,4096,64,20,400,502,270656,0.0018547528966658784,0.0020209615691274773,0.000000007451810724549196,-1.9254080048978015,0.006470522387470812
0,1,131072,131070,4096,64,20,400,458,270656,0.00169218491369118,0.0020209615691274773,0.000000007451810724549196,-3.808641238903036,0.00000007211156893838222
0,1,131072,131070,4096,64,20,400,501,270656,0.0018510581697800898,0.0020209615691274773,0.000000007451810724549196,-1.9682087602161022,0.005378242485511553
0,1,131072,131070,4096,64,20,400,486,270656,0.0017956372664932607,0.0020209615691274773,0.000000007451810724549196,-2.6102200899906145,0.00022307743031912963
0,1,131072,131070,4096,64,20,400,467,270656,0.0017254374556632773,0.0020209615691274773,0.000000007451810724549196,-3.4234344410383297,0.000001290576445711622
0,1,131072,131070,4096,64,20,400,492,270656,0.0018178056278079925,0.0020209615691274773,0.000000007451810724549196,-2.3534155580808083,0.00087410299965196
0,1,131072,131070,4096,64,20,400,500,270656,0.0018473634428943012,0.0020209615691274773,0.000000007451810724549196,-2.0110095155344028,0.004455275352714283
0,1,131072,131070,4096,64,20,400,505,270656,0.0018658370773232443,0.0020209615691274773,0.000000007451810724549196,-1.797005738942897,0.011042581439650867
0,1,131072,131070,4096,64,20,400,506,270656,0.001869531804209033,0.0020209615691274773,0.000000007451810724549196,-1.7542049836245963,0.013108058706613246
0,1,131072,131070,4096,64,20,400,460,270656,0.0016995743674627572,0.0020209615691274773,0.000000007451810724549196,-3.7230397282664347,0.0000001403404499278338
