thread_id,sample_idx,mode,n,scale,kl,chi,df,p_value,nonzero_bins
0,1,byte_hist,131072,1.2,0.0011053077890835626,347.69976607382574,255,0.9998439947572054,256
0,1,byte_hist,131072,1.2,0.0011476020925605675,361.00440354263685,255,0.9995648243430015,256
0,1,byte_hist,131072,1.2,0.0007908326437876094,248.77443908767088,255,0.401927214356896,256
0,1,byte_hist,131072,1.2,0.0010451869991234155,328.7874008378504,255,0.9987569764519549,256
0,1,byte_hist,131072,1.2,0.0010498529307483744,330.25517601372223,255,0.9989637522501954,256
0,1,byte_hist,131072,1.2,0.0010264757263238344,322.9013433617223,255,0.997474436493049,256
0,1,byte_hist,131072,1.2,0.0009364437047956421,294.57971825993855,255,0.9552952498060646,256
0,1,byte_hist,131072,1.2,0.0009195231210303772,289.2569628472646,255,0.9309729140366283,256
0,1,byte_hist,131072,1.2,0.0011125620393409618,349.9817558891965,255,0.9998467601590703,256
0,1,byte_hist,131072,1.2,0.0009831338985410547,309.26718323897546,255,0.9886969243383015,256
0,1,byte_hist,131072,1.2,0.0009212191849572688,289.7904984257259,255,0.9338108237381434,256
0,1,byte_hist,131072,1.2,0.0009754113156083973,306.83786870261724,255,0.985559851959006,256
0,1,byte_hist,131072,1.2,0.0007599747798868832,239.06739443840053,255,0.2447581150889411,256
0,1,byte_hist,131072,1.2,0.0010777171569836435,339.02050368038425,255,0.9996560213712026,256
0,1,byte_hist,131072,1.2,0.0009917866640506352,311.98910791306764,255,0.9914786928310075,256
0,1,byte_hist,131072,1.2,0.0008881001377209395,279.37214700326155,255,0.8590207200387522,256
0,1,byte_hist,131072,1.2,0.0009719043818097027,305.7346827181472,255,0.9838973841162142,256
0,1,byte_hist,131072,1.2,0.0009206070664242001,289.5979425848466,255,0.9327976100868526,256
0,1,byte_hist,131072,1.2,0.0008371576738231154,263.3470334960241,255,0.6536160639676645,256
0,1,byte_hist,131072,1.2,0.0008901608358864213,280.020386595132,255,0.8649689315013513,256
0,1,byte_hist,131072,1.2,0.0012213412517377141,384.2007373146376,255,0.9930277956420663,256
0,1,byte_hist,131072,1.2,0.0007538533060897092,237.14174528589686,255,0.21759901472219195,256
0,1,byte_hist,131072,1.2,0.0008949758020379491,281.53504397932335,255,0.8781567006500943,256
0,1,byte_hist,131072,1.2,0.0009775971867825195,307.52548431830013,255,0.9865177231198347,256
0,1,byte_hist,131072,1.2,0.0010149820356844888,319.28574091496955,255,0.9961658056152082,256
0,1,byte_hist,131072,1.2,0.0010321241681405893,324.678189519656,255,0.9979534198291525,256
0,1,byte_hist,131072,1.2,0.000978135736926749,307.6948975451108,255,0.9867449139752937,256
0,1,byte_hist,131072,1.2,0.0009882782369627667,310.885452180441,255,0.9904347337405659,256
0,1,byte_hist,131072,1.2,0.0008525817729388381,268.1990355423345,255,0.7271026982404728,256
0,1,byte_hist,131072,1.2,0.0011261296346592121,354.2497523377254,255,0.9998036824375137,256
0,1,byte_hist,131072,1.2,0.0009689847696971946,304.81625216100167,255,0.9823873314585462,256
0,1,byte_hist,131072,1.2,0.0009040912755413244,284.40252400260596,255,0.9004806072789644,256
0,1,byte_hist,131072,1.2,0.0009087288888849181,285.86139101741753,255,0.9105689701233118,256
0,1,byte_hist,131072,1.2,0.0009705717899847505,305.3154855765149,255,0.9832228687435379,256
0,1,byte_hist,131072,1.2,0.0010858842395115463,341.58964569901775,255,0.9997460731060618,256
