thread_id,sample_idx,n,segments,m,mean_ncd,stat,p_value,c_a,c_b,c_ab,ncd_values
0,1,131072,8,7,0.8494539074970947,-0.3983075216152128,0.5732360671979362,14729|14749|14724|14691|14719|14759|14785,14749|14724|14691|14719|14759|14785|14746,27269|27273|27187|27197|27291|27264|27301,0.850227134042986|0.8508373449047393|0.8486824232545503|0.8496501121000068|0.8518192289450505|0.8457896516739939|0.8491714575583361
0,1,131072,8,7,0.8499896929648282,-0.39688996651150765,0.574601719665425,14696|14749|14713|14769|14734|14720|14753,14749|14713|14769|14734|14720|14753|14756,27224|27301|27233|27294|27274|27241|27268,0.8494135195606481|0.8534815919723371|0.8477215789830049|0.8504299546347078|0.8520428939866974|0.848708737205992|0.8481295744104094
0,1,131072,8,7,0.8495223767512107,-0.3981263689963679,0.573410501240474,14734|14745|14693|14762|14739|14792|14759,14745|14693|14762|14739|14792|14759|14734,27258|27220|27243|27280|27308|27283|27303,0.8493726687012546|0.8495761275008478|0.8501558054464164|0.8495461319604389|0.8497160627366144|0.8466738777717685|0.8516159631411342
0,1,131072,8,7,0.8487728363925395,-0.4001094663830179,0.5715023245567143,14739|14753|14744|14695|14713|14818|14702,14753|14744|14695|14713|14818|14702|14727,27333|27231|27242|27162|27263|27237|27222,0.8536568833457602|0.846404121195689|0.8509902333152469|0.8473458845918576|0.8469429072749359|0.8459306249156431|0.850139200108644
0,1,131072,8,7,0.8491968044215443,-0.39898775241442896,0.5725812895318938,14753|14714|14780|14681|14760|14744|14793,14714|14780|14681|14760|14744|14793|14701,27239|27236|27233|27244|27302|27301|27247,0.8489798685013218|0.8472259810554804|0.8492557510148849|0.8511517615176152|0.8508130081300813|0.8488474278374907|0.8481038328939363
0,1,131072,8,7,0.8480234596458727,-0.40209213089299306,0.5695975891400185,14746|14738|14752|14683|14784|14712|14740,14738|14752|14683|14784|14712|14740|14738,27242|27300|27140|27202|27225|27191|27303,0.8479587684795877|0.8515455531453362|0.844427874186551|0.8467938311688312|0.846387987012987|0.8466078697421981|0.8524423337856174
0,1,131072,8,7,0.8487734038119281,-0.40010796513242664,0.5715037679474779,14685|14725|14703|14714|14714|14716|14755,14725|14703|14714|14714|14716|14755|14702,27155|27240|27190|27240|27134|27238|27252,0.8468590831918505|0.851409168081494|0.8486475465543021|0.8512980834579312|0.8439793422125578|0.8486614706879024|0.8505591324974585
0,1,131072,8,7,0.8493373866097481,-0.3986158069056765,0.5729392734427403,14784|14701|14729|14755|14700|14700|14761,14701|14729|14755|14700|14700|14761|14738,27289|27260|27288|27260|27127|27207|27228,0.851461038961039|0.8526716002444158|0.8511690952219586|0.8512368688580142|0.8453741496598639|0.847300318406612|0.8461486349163336
0,1,131072,8,7,0.848212803068276,-0.4015911752849281,0.570078568465521,14732|14724|14778|14776|14738|14702|14720,14724|14778|14776|14738|14702|14720|14773,27208|27284|27317|27248|27236|27216|27193,0.8474070051588379|0.8499120313980241|0.8486263364460684|0.8466432051976177|0.8504546071380106|0.8501358695652174|0.8443105665741556
0,1,131072,8,7,0.850290744254593,-0.39609345966691484,0.5753697379762024,14779|14745|14743|14764|14742|14702|14770,14745|14743|14764|14742|14702|14770|14722,27304|27282|27291|27356|27192|27282|27256,0.8497868597334055|0.8503899626992201|0.8499051747493904|0.854375507992414|0.8472391805725139|0.8517264725795531|0.8486120514556533
0,1,131072,8,7,0.8497366375033183,-0.3975594883305695,0.5739565200136107,14788|14721|14766|14722|14713|14707|14762,14721|14766|14722|14713|14707|14762|14705,27307|27262|27291|27245|27188|27205|27258,0.8510954828239112|0.8493159962075038|0.8512122443451171|0.8512430376307567|0.8482974240467613|0.8466332475274353|0.8503590299417423
0,1,131072,8,7,0.8481230670129613,-0.40182859457092673,0.5698505924545869,14767|14724|14743|14706|14750|14755|14801,14724|14743|14706|14750|14755|14801|14740,27268|27239|27203|27179|27285|27273|27320,0.8494616374348208|0.8488774333582039|0.8476565149562504|0.8456271186440678|0.8495425279566249|0.8457536652928856|0.8499425714478751
0,1,131072,8,7,0.8488275901497178,-0.39996460155817787,0.5716416141226996,14723|14736|14727|14740|14747|14752|14683,14736|14727|14740|14747|14752|14683|14808,27231|27260|27269|27230|27269|27239|27191,0.8488056460369164|0.8505021715526602|0.8508819538670285|0.8469519224249|0.8488340563991323|0.8511388286334056|0.8446785521339817
0,1,131072,8,7,0.8482217556448955,-0.4015674889935994,0.5701013150277383,14711|14781|14733|14727|14760|14738|14770,14781|14733|14727|14760|14738|14770|14760,27327|27225|27233|27250|27197|27264|27306,0.8535281780664367|0.8451390298355997|0.8488427339985067|0.8484417344173442|0.8441056910569106|0.848070412999323|0.849424509140149
0,1,131072,8,7,0.8500575033499824,-0.396710557096082,0.5747746698402665,14743|14700|14778|14724|14772|14750|14737,14700|14778|14724|14772|14750|14737|14753,27233|27243|27292|27245|27333|27309|27267,0.8500983517601574|0.8487616727568007|0.8504533766409528|0.8476171134578933|0.8518142431627403|0.8523389830508474|0.849318782620484
0,1,131072,8,7,0.8499157373503243,-0.3970856346755418,0.5744131241802761,14768|14718|14764|14737|14691|14769|14737,14718|14764|14737|14691|14769|14737|14744,27226|27236|27275|27221|27213|27369|27298,0.8469664138678223|0.8478732050934706|0.8492278515307504|0.8502408902761757|0.8478569977655901|0.8553050308077731|0.851939772110689
0,1,131072,8,7,0.8488603349549767,-0.3998779669467335,0.5717249222334417,14764|14771|14766|14744|14753|14739|14757,14771|14766|14744|14753|14739|14757|14717,27281|27275|27300|27271|27279|27265|27253,0.8474036964321983|0.8468620946449124|0.8503318434240823|0.8491154341489866|0.8499966108588084|0.8488175103340787|0.84949515484177
0,1,131072,8,7,0.8497613816832842,-0.3974940213839835,0.5740195935582744,14762|14701|14709|14703|14698|14745|14773,14701|14709|14703|14698|14745|14773|14726,27185|27184|27216|27268|27214|27290|27288,0.845684866549248|0.8486640832143586|0.8507036508260248|0.8549275658028974|0.8488301119023398|0.8491843227509646|0.8503350707371556
0,1,131072,8,7,0.8502962076822512,-0.39607900479602504,0.5753836803225729,14774|14728|14755|14729|14762|14711|14677,14728|14755|14729|14762|14711|14677|14676,27347|27234|27270|27183|27308|27188|27195,0.854135643698389|0.8475770925110132|0.8499491697729583|0.8436526215959897|0.8533396558731879|0.8504520426891442|0.8529672276350753
0,1,131072,8,7,0.8501737923080162,-0.3964028854329019,0.5750713217747587,14676|14725|14758|14724|14798|14710|14753,14725|14758|14724|14798|14710|14753|14756,27198|27329|27283|27273|27300|27247|27254,0.8503904923599321|0.8540452635858518|0.8509960699281746|0.848020002703068|0.8507906473847817|0.849793262387311|0.8471808078069938
0,1,131072,8,7,0.8485402872008486,-0.40072473371182116,0.5709109163315791,14790|14741|14783|14749|14754|14775|14787,14741|14783|14749|14754|14775|14787|14748,27254|27249|27279|27304|27360|27313|27287,0.8460446247464503|0.8461070148143137|0.8475952107150105|0.8509556730378203|0.8531979695431472|0.8479069452897816|0.8479745722594171
0,1,131072,8,7,0.8483216274785395,-0.40130325295879765,0.5703550971067024,14725|14714|14763|14686|14735|14739|14750,14714|14763|14686|14735|14739|14750|14730,27240|27234|27232|27158|27220|27256|27232,0.8506621392190152|0.848066111224006|0.8498272708799025|0.8464200882253139|0.8470723929710292|0.8486101694915255|0.8475932203389831
0,1,131072,8,7,0.8499974500890815,-0.39686944308984445,0.5746215029391282,14786|14759|14738|14780|14733|14738|14731,14759|14738|14780|14733|14738|14731|14693,27355|27267|27263|27328|27289|27250|27188,0.8518869200595157|0.8489057524222509|0.8474289580514208|0.8521650879566982|0.8519473469941647|0.84943682996336|0.8482112551761591
0,1,131072,8,7,0.8489882596537525,-0.39953951000723,0.5720504387929579,14712|14721|14750|14722|14760|14770|14745,14721|14750|14722|14760|14770|14745|14755,27239|27210|27275|27284|27257|27272|27270,0.8509612118741934|0.8467118644067797|0.8510508474576272|0.8510840108401084|0.8461069735951252|0.8481381178063643|0.8488647915960691
0,1,131072,8,7,0.8484259054229071,-0.4010273594507719,0.5706201328967917,14735|14762|14734|14753|14684|14694|14736,14762|14734|14753|14684|14694|14736|14743,27210|27290|27222|27180|27160|27220|27279,0.8450751930632706|0.8505622544370681|0.8464719040195214|0.847014166610181|0.8490540356608139|0.8500271444082519|0.8507766397612426
0,1,131072,8,7,0.8482148423735476,-0.401585779790332,0.57008374986139,14771|14750|14770|14755|14732|14709|14739,14750|14770|14755|14732|14709|14739|14747,27282|27251|27317|27215|27215|27228|27243,0.8484191997833593|0.8463777928232905|0.8505077860528097|0.846018298881735|0.8489003529731197|0.8493791980460004|0.8479012680545196
0,1,131072,8,7,0.848683083299725,-0.40034693074600414,0.5712740341606752,14696|14777|14762|14768|14747|14725|14784,14777|14762|14768|14747|14725|14784|14754,27237|27268|27288|27294|27274|27326|27242,0.8486837653109562|0.8463152195980239|0.8481852654387866|0.8496072589382448|0.8509527361497253|0.8523403679653679|0.8446969696969697
0,1,131072,8,7,0.8475171003041115,-0.4034318317853274,0.5683122628905934,14727|14794|14734|14776|14784|14764|14781,14794|14734|14776|14784|14764|14781|14765,27286|27337|27278|27268|27317|27283|27208,0.8489252399621469|0.8518994186832499|0.8489442338927992|0.8449675324675324|0.8490936147186147|0.8469656992084432|0.8418239631959948
0,1,131072,8,7,0.8483306346054372,-0.4012794223409989,0.5703779875616126,14751|14729|14759|14736|14713|14730|14747,14729|14759|14736|14713|14730|14747|14768,27243|27254|27222|27274|27229|27222|27243,0.848349264456647|0.8486347313503625|0.8459922758994511|0.8524022801302932|0.8496945010183299|0.8470875432291314|0.8461538461538461
0,1,131072,8,7,0.845782533341696,-0.4080210646002677,0.5639198389246487,14681|14759|14742|14779|14772|14717|14779,14759|14742|14779|14772|14717|14779|14779,27201|27171|27237|27290|27235|27201|27274,0.848295955010502|0.8421302256250424|0.845456390824819|0.8470126530888423|0.8474140265366911|0.8447120914811557|0.845456390824819
0,1,131072,8,7,0.8499069899264329,-0.39710877818377105,0.574390819161948,14715|14760|14694|14737|14726|14715|14741,14760|14694|14737|14726|14715|14741|14828,27234|27264|27162|27296|27262|27227|27341,0.848170731707317|0.8516260162601627|0.8460337924950804|0.8529551469091402|0.8520304223821812|0.8487890916491418|0.849743728082007
0,1,131072,8,7,0.8483173195919517,-0.4013146505553852,0.5703441493216026,14724|14742|14689|14735|14789|14706|14721,14742|14689|14735|14789|14706|14721|14776,27236|27206|27195|27256|27256|27198|27249,0.848731515398182|0.8490706824040157|0.8487275195113675|0.8466427750354993|0.8486036919331936|0.8485836560016303|0.8478613968597726
0,1,131072,8,7,0.8484723618104281,-0.4009044474025809,0.5707382266608438,14760|14767|14717|14764|14734|14747|14713,14767|14717|14764|14734|14747|14713|14785,27257|27308|27273|27232|27244|27207|27249,0.8462788650369066|0.8526444098327352|0.8504470333243024|0.8465185586561907|0.8483081304672137|0.8472231640333627|0.8478863713222861
0,1,131072,8,7,0.8492959658417362,-0.3987253959569494,0.5728337869647984,14732|14703|14730|14695|14726|14738|14735,14703|14730|14695|14726|14738|14735|14731,27284|27168|27205|27249|27202|27214|27253,0.8539913114308987|0.8462321792260692|0.8492871690427699|0.8525057721037621|0.846519202062695|0.8467227574976252|0.8498133695283339
