thread_id,sample_idx,k,m,mean_diff,var_diff,stat,p_value,complexities,diffs
0,1,8,8,37,711,1.387608411142096,0.049718745542250975,14751|14668|14721|14779|14715|14740|14744|14730,83|30|28|36|11|7|21|53|111|47|72|76|62|58|6|19|23|9|64|39|35|49|25|29|15|4|10|14
0,1,8,8,38.035714285714285,688.3915816326531,1.4496855201888015,0.040348205855066155,14785|14702|14733|14708|14705|14741|14779|14718,83|52|77|80|44|6|67|31|6|3|39|77|16|25|28|8|46|15|3|33|71|10|36|74|13|38|23|61
0,1,8,8,37.32142857142857,953.9323979591838,1.2083686787547665,0.08747100913456474,14724|14678|14705|14687|14711|14677|14781|14690,46|19|37|13|47|57|34|27|9|33|1|103|12|18|6|28|76|15|24|10|94|3|34|70|21|104|13|91
0,1,8,8,35.82142857142857,649.0752551020407,1.406032551625987,0.046763981639109886,14809|14723|14733|14767|14740|14744|14797|14744,86|76|42|69|65|12|65|10|44|17|21|74|21|34|7|11|64|11|27|23|30|23|4|57|4|53|0|53
0,1,8,8,48.642857142857146,864.7295918367346,1.6541653358177304,0.01931764609913711,14703|14756|14734|14718|14754|14775|14672|14796,53|31|15|51|72|31|93|22|38|2|19|84|40|16|20|41|62|62|36|57|46|78|21|82|42|103|21|124
0,1,8,8,24.75,503.6875,1.1027945640969634,0.1188575276481556,14697|14756|14763|14773|14735|14756|14753|14760,59|66|76|38|59|56|63|7|17|21|0|3|4|10|28|7|10|3|38|17|20|13|21|18|25|3|4|7
0,1,8,8,29.107142857142858,378.1670918367346,1.4967791005758702,0.034279650321381805,14705|14701|14729|14758|14753|14734|14760|14763,4|24|53|48|29|55|58|28|57|52|33|59|62|29|24|5|31|34|5|24|2|5|19|7|10|26|29|3
0,1,8,8,34.107142857142854,486.38137755102025,1.5465247369996291,0.0287339375639597,14788|14736|14707|14704|14748|14739|14772|14745,52|81|84|40|49|16|43|29|32|12|3|36|9|3|41|32|65|38|44|35|68|41|9|24|3|33|6|27
0,1,8,8,37.25,627.5446428571429,1.4869760165372026,0.03547424333700766,14756|14732|14738|14677|14732|14775|14754|14699,24|18|79|24|19|2|57|6|55|0|43|22|33|61|6|37|16|39|55|98|77|22|43|22|33|21|76|55
0,1,8,8,36.035714285714285,593.1058673469389,1.4796773458413872,0.03638655747240849,14722|14743|14821|14772|14744|14749|14766|14786,21|99|50|22|27|44|64|78|29|1|6|23|43|49|77|72|55|35|28|23|6|14|5|22|42|17|37|20
0,1,8,8,32.57142857142857,429.3877551020409,1.5718531844482406,0.02622002179788252,14756|14760|14744|14766|14715|14689|14739|14711,4|12|10|41|67|17|45|16|6|45|71|21|49|22|29|55|5|33|51|77|27|55|26|24|4|50|22|28
0,1,8,8,44.892857142857146,811.4528061224489,1.5759615342845947,0.02583071232857881,14716|14775|14789|14743|14704|14725|14793|14702,59|73|27|12|9|77|14|14|32|71|50|18|73|46|85|64|4|87|39|18|50|41|21|89|2|68|23|91
0,1,8,8,33.32142857142857,419.6466836734693,1.62660354594847,0.02142750464983223,14710|14730|14799|14774|14737|14765|14757|14751,20|89|64|27|55|47|41|69|44|7|35|27|21|25|62|34|42|48|37|9|17|23|28|20|14|8|14|6
0,1,8,8,29.785714285714285,428.09693877551024,1.4395838243992058,0.04176237471254085,14725|14750|14730|14764|14753|14772|14761|14807,25|5|39|28|47|36|82|20|14|3|22|11|57|34|23|42|31|77|11|8|3|43|19|8|54|11|35|46
0,1,8,8,25.178571428571427,299.71811224489795,1.4543689411187488,0.039706463000630965,14734|14737|14774|14704|14731|14736|14719|14758,3|40|30|3|2|15|24|37|33|6|1|18|21|70|43|38|55|16|27|32|15|54|5|12|27|17|22|39
