Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G0_W0_1766901491.pt,0.0006619885144785704,0.33856448357418284,0.19214915642183117,0.12557383339742106,0.31377449166290977,0.0,0.7196045371130473,0.13768030972187012,0.45019891864981465,0.936972545329541,0.534782937926841,0.35741041901990217,0.9999993810961638,1.0,1.0,2
G0_W0_1766895916.pt,0.2066808489198707,0.09138561422989155,0.7926115036880861,0.05958613369434131,0.5989424400491974,1.596061139433142e-140,0.7563141939844722,0.5064366435722512,0.10341580754472063,0.9255807081748761,0.8703957600990521,0.8653813217124322,0.9176316345380395,1.0,1.0,1
G0_W0_1766893167.pt,0.00029036331264747987,0.008052478208935898,0.9318720242456267,0.10334317415199128,0.21738718052148068,0.0,0.23684323860561282,0.4457148751287556,0.14916123812383916,0.3817015936016774,0.44132432512766256,0.41812780279655937,0.9999997616350846,1.0,1.0,3
G0_W0_1766895350.pt,0.508138444991147,0.2494955274877746,0.49267749234139724,0.23189043458150305,0.06308436637339447,0.0,0.9376631815235766,0.8416063433380856,0.564233401837032,0.44045730150033235,0.9227820109065873,0.9635923647845878,0.7192934989068355,5.812757954458147e-18,0.10216471930121762,2
G0_W0_155.pt,0.7575290315915244,0.2607730289440944,0.7874957042121984,0.7579747082976147,0.8507091864456118,0.0,0.2965431269528889,0.6401858918605987,0.3627117394228757,0.5455365107739385,0.026091580968639908,0.055143725010101695,0.08463402573003609,1.7182535490767143e-50,0.1077060775442329,2
G0_W0_1766893237.pt,0.47624799776763294,0.12158085138562945,0.4157060509648063,0.014297659371481038,0.3024678812656229,7.98685922030152e-229,0.547470244783967,0.15598867171218123,0.8034564287840205,0.120191021246467,0.27173235848102295,0.38360745112056804,0.8078218570715191,2.133161899279361e-20,0.2661748327096445,2
G0_W0_1766908166.pt,0.0299150913396939,0.8427039242279211,0.9190154077629367,0.6252020039437169,0.7540899022139881,1.5096650050874561e-295,0.07174127412017875,0.3740318625141367,0.5815430563842412,0.5783027066859769,0.6769864408909213,0.3291993362671327,0.9961306738041822,1.0950720233910621e-14,0.0169414976351047,2
G0_W0_278.pt,0.019839355179767048,0.5240725939857817,0.8561337209936175,0.511393781815888,0.6326413470185817,2.6022271030222814e-265,0.3787617524231521,0.037189628937489255,0.18232303068168743,0.9287763025745099,0.4455964567160708,0.43536764993110966,0.9985271484891403,6.534822316422868e-14,0.043293768993508584,2
G0_W0_643.pt,0.1702008708321704,0.23276945716398578,0.7982125957388962,0.8342178761950029,0.5975779544807513,4.7812816111710796e-157,0.2966846173550142,0.9738526618827742,0.21293055876293154,0.8971612004833251,0.29207776231575944,0.44976574101907424,0.9757644868447636,1.0,1.0,1
G0_W1_1766890646.pt,0.37920259877420204,0.11257723707993268,0.2213173862315444,0.23937440115817243,0.404938723517124,4.427061046413543e-287,0.2976358916709568,0.41492137831383047,0.12269487693610995,0.3759426675760283,0.227848015582096,0.26966251067906605,0.9167394956663134,4.639007962737204e-22,0.026286451094291004,2
G0_W1_1766900504.pt,0.012412867023445906,0.04347121382205219,0.5188407511537597,0.0051078187732323055,0.7067712004916111,7.951673551636956e-53,0.5574287351677003,0.704408561508964,0.33314495907789066,0.027765437819766384,0.20931253779631953,0.3973617458538519,0.9994345423701975,7.585456825666839e-13,0.2998167551522073,3
G0_W1_1766902633.pt,0.21358575899402776,0.012382286870546277,0.6108029122864274,0.006327726503753623,0.41222409812661787,0.0,0.526809628694174,0.039866753141202624,0.06457998348970709,0.7540447570933462,0.9938360663052811,0.9939895855562421,0.8449443896935609,4.787258218179041e-16,0.062165559331978835,3
G0_W1_1766903062.pt,0.635158855550749,0.7151606432923718,0.3709515981586793,0.23332187679633962,0.29701139531942605,0.0,0.5104595807473469,0.3256620582515642,0.40188027719136066,0.2544639991749011,0.2006789517469097,0.10060723077793099,0.7245488305654524,5.6261178767979246e-52,0.09659325629429581,2
G0_W1_1766904655.pt,0.18441805590839033,0.03652132002180106,0.09970707342345705,0.9815712265468504,0.9673595669899453,2.767763008748118e-135,0.0124333396925476,0.4179743744878842,0.45699256606653216,0.6704245426159978,0.530958056430012,0.9253723726789465,0.937442220128604,3.5272967786598403e-31,0.019205406848564702,2
G0_W1_346.pt,0.9626605191797557,0.09390839330151812,0.16629415334386244,0.27575587409743946,0.0859267186963688,0.0,0.2869457411326023,0.029639316500133326,0.8554120923703121,0.28630004418946525,0.8373571035342477,0.7910547619465887,0.17479275195269317,4.623166285741728e-50,0.0412915708372908,2
G0_W1_1766906658.pt,0.5453107662136766,0.6673183545937511,0.26379348231720356,0.9331002244223698,0.7540899022139881,0.0,0.7022605313582047,0.9769482305622814,0.39226069306987643,0.7870492486661537,0.769714181789226,0.6848723535776835,0.5571822370753063,1.0,1.0,1
G0_W1_1766908223.pt,0.09339487225045323,0.1411221908822431,0.601802895514942,0.06035097686076817,0.19472975861163477,0.0,0.13916905949887817,0.665570838600337,0.19916574600321624,0.5491083559842458,0.3976382111534595,0.5421681173530659,0.9725864032152418,1.0,1.0,1
G0_W1_443.pt,0.9838484024698985,0.2714215146498561,0.5890091989855901,0.23697536618730292,0.165344409467518,2.2516252646196235e-259,0.05773714243687793,0.23115871104638486,0.6582064256401352,0.1395496222378589,0.5217081226983555,0.3808464341782653,0.31880706813403714,5.5490533450193905e-74,0.12959213619799206,2
G0_W2_1766893370.pt,0.003399310162121472,0.12253393365824079,0.5019040569267623,0.10948919348124656,0.05097663215329695,0.0,0.5593111927877952,0.9832067633674355,0.24601367309311672,0.20903595319443768,0.09067052058600786,0.39364097133627746,0.9999744907488113,1.0,1.0,2
G0_W1_867.pt,0.32929870578722575,0.10773552379072199,0.5695107791938715,0.7749170392479883,0.2542126293515328,7.921466579209714e-273,0.8975860963688155,0.5580191640124164,0.6284732191966346,0.40252549466017895,0.035259058858099636,0.09582717277617228,0.7911878813571654,1.5521630660984484e-21,0.2207586083339329,2
G0_W2_1766890808.pt,0.054452579170534865,0.6083152597239068,0.692222141528116,0.8042070852114674,0.43516928173250546,0.0,0.4392936776450854,0.34194796716023074,0.15615559184103583,0.31971100186776996,0.4064715789364725,0.2829030142936545,0.9912934906843023,1.0,1.0,1
G0_W2_1766895431.pt,0.6451141086470854,0.1953238346831593,0.5994277774108057,0.030581115057452608,0.6120931809706589,0.0,0.8559427623277639,0.06229402408675204,0.7891202170938132,0.11982845301395584,0.42655594496888616,0.2110576964586381,0.45737748883260543,2.5176488737259706e-17,4.085834264663414e-05,3
G0_W2_1766898354.pt,0.07992157128679071,0.0012664651810986463,0.004268766818538593,0.020564553431000387,0.9148063929768361,8.285514992067252e-207,0.03028047934807053,0.08663728801050456,0.28924678514520397,0.7623525576598058,0.29240060538260965,0.42190640310464284,0.9738599767944306,5.908325551638158e-14,0.004878243254220966,5
G0_W2_1766900556.pt,0.48096056221373995,0.3621747267600523,0.966444233386435,0.3099903584267627,0.08002468943532084,0.0,0.4372886875151444,0.37708870217893165,0.4850051489987369,0.28028076783397315,0.2145694111156041,0.43619736421102934,0.9049804089710096,1.0,1.0,1
G0_W2_1766903480.pt,0.4387246614745747,0.9101011573152459,0.912045890694915,0.22531983898756494,0.9825201772656519,0.0,0.9681036596278195,0.6428722749218949,0.6667809823770353,0.4764419091530234,0.07258748116681128,0.06247640781736326,0.8092476174574563,1.0,1.0,1
G0_W2_1766903499.pt,0.3642996982025136,0.15773047709194873,0.3600261970712737,0.10326677210209019,0.34675316105078424,1.971859880682714e-218,0.21859113500980873,0.39491470283353824,0.9203364618443044,0.19952598353492534,0.3429214450814711,0.3719608686023238,0.8078218570715191,1.0,1.0,1
G0_W2_1766905464.pt,0.21686440944596985,0.7906340093938382,0.38418587979740515,0.12426116235847466,0.3650649737393731,0.0,0.7962781773816763,0.3201041840748816,0.9593312422460768,0.6186893955660615,0.45647120719306805,0.4002537092071757,0.8840369012291669,1.1838748817043846e-14,0.4715209654601785,2
G0_W3_1766896718.pt,0.09513751567667532,0.7902220134062656,0.25501507376890786,0.6719492022632222,0.2687050126441007,0.0,0.4988847927752238,0.904184563608684,0.2323985748053894,0.7055143476008072,0.4542104895295123,0.6579938118827983,0.9807111232119063,1.0,1.0,1
G0_W2_919.pt,0.022307692818757083,0.04797248101879109,0.7408484168893713,0.4357688441544496,0.8673712974943679,1.839726000329391e-261,0.7100054552710939,0.7546597608187146,0.035181947139730704,0.8256110876835792,0.07514285104190176,0.6395348864163405,0.999366269046415,1.0,1.0,1
G0_W3_1766893035.pt,0.7508003952259811,0.011416682632826398,0.15099552326870633,0.5607091990539814,0.7820840683282947,1.6001088522281798e-105,0.6941143389982655,0.9474919099568839,0.8806422475046156,0.20958274274393518,0.18984580366532028,0.0524051859865293,0.3929549723745347,1.0802208075135304e-13,0.1305593975039346,2
