Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G1_W4_1766908238.pt,0.32368435794221684,0.022145024856901358,0.6785853326980591,0.7793761921608771,0.6100216772886548,0.0,0.5897161436216898,0.8790901902692848,0.8059189615483072,0.018261173816600113,0.5552812342502335,0.5564446940187427,0.7961065993930464,1.0,1.0,7
G2_W3_191.pt,0.027964532741545062,0.061345303518608806,0.11712886476916315,0.8422389117883393,0.2774377558104812,1.0358116510217464e-117,0.5104259336406072,0.7534329502320704,0.12863818412393027,0.9483949583240209,0.6742472956369102,0.26850716365383287,0.9989609524481838,1.0,1.0,7
G0_W0_643.pt,0.02962947104344904,0.04183915442542047,0.5557557842415316,0.1972785152062092,0.737085594225821,5.997087164039604e-128,0.7154647371850287,0.9480610318277505,0.10374222607943663,0.4052806066117013,0.8636883189103198,0.924817937361776,0.996257299168116,5.2540942642363885e-14,0.00560319359993426,10
