Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G0_W2_1766903499.pt,0.843527847237723,0.014419309624932231,0.6633953897588096,0.6781947285679202,0.16335267519497335,5.40564548502431e-223,0.9569859700997867,0.8381396852698901,0.6654282752649703,0.9321586114313433,0.0016802525066652015,0.00018105633551336798,0.5339581359414187,1.0,1.0,9
G0_W2_919.pt,0.03416903703127315,0.2042105398675413,0.8960670464079257,0.33873771271224107,0.29610136683157706,1.1713925788628514e-277,0.5225290236568827,0.6801622509696913,0.08251437280645968,0.7697592242235164,0.695955611807454,0.8334292014228625,0.996257299168116,1.0165500446519314e-15,0.3664956136740395,8
G0_W3_1766902910.pt,0.8149260005680332,0.2704302784221751,0.03249394323061719,0.6305383675400504,0.051052789917665764,6.414257936925439e-133,0.4967654048577206,0.2741982264391369,0.13555725090633622,0.8160762832110209,0.8572712764846163,0.855481081747685,0.5325674281997095,1.6905810925937154e-20,0.010569254839110703,8
G0_W2_1766903480.pt,0.44699724700693466,0.9481514603151809,0.7395859460808971,0.5314137691022336,0.6974182473467194,0.0,0.783917070598342,0.6586122886111414,0.9222853994902693,0.3636004871746253,0.013704305076555033,0.08276790270384131,0.8110178954101612,3.479495882234692e-19,0.03600690344377936,8
G0_W0_643.pt,0.03798172994103896,0.5228753376023538,0.5409860229925125,0.46793366617399434,0.41278859409163815,1.0536600536028747e-118,0.7106784195886056,0.9598997574864623,0.5255124130505644,0.2604522547341339,0.4696316901225637,0.4479602575487749,0.9965835431983079,5.452041977180592e-13,0.1521724268381326,7
G0_W3_1766903678.pt,0.0009205160823384404,0.7552634231355508,0.7841265935543704,0.18907526622226806,0.18364176324267426,4.7569053909622654e-138,0.9199655867515635,0.8632667843393758,0.6805966252829843,0.6146868384840134,0.2548522295931578,0.2266322401421356,0.9999974064207175,1.0,1.0,8
G1_W1_1766892763.pt,0.0006349135448309692,0.34394671427635676,0.2453424481741241,0.030963878417307716,0.45633004182722736,0.0,0.47876873017973787,0.6818338816264091,0.01957684949541994,0.5499237319618022,0.5619277348759063,0.7429205235787661,0.9999996308225506,1.0,1.0,8
G1_W0_274.pt,0.8763255526898291,0.3009385171134984,0.6837117321441217,0.0054048961025926845,0.6325626482116082,0.0,0.4044364212279418,0.4075981002917317,0.876855900595693,0.9351354871222172,0.18621064017027322,0.17078112632634995,0.4318911919019498,2.9792551453329907e-75,0.3924494731152057,9
G1_W4_1766908238.pt,0.09167793246996385,0.20595383541275733,0.2836194568569864,0.6737195621018515,0.4602592403543828,0.0,0.9690466253175909,0.9019169543619568,0.5111055574646951,0.8199819095979702,0.08232978055920308,0.06488532042546538,0.9706823794599018,1.0,1.0,6
G2_W3_1766891684.pt,0.0943875053174156,0.061897442075436376,0.9612497774838688,0.02948854928469532,0.10125656027299137,2.2073951283127465e-272,0.9151905252219056,0.5872053326100695,0.37536096360999516,0.7422472209092645,0.19025847986453417,0.19466757354063055,0.9677264863822859,1.8890439926963648e-23,0.03538904123774262,8
G2_W2_1766903227.pt,0.7165047327604637,0.6099578145908213,0.008715934763756204,0.2172495281328003,0.22195077631468024,1.8161530161225734e-236,0.9003319492835848,0.7505818263137582,0.9089978172832688,0.4004563614442077,0.7913596928859946,0.24809487836127797,0.3221529919247572,1.1084148209772956e-53,0.24064571212672725,9
G1_W3_1766904882.pt,0.7183958560399775,0.059101572539431435,0.5803708087185651,0.571707559522785,0.7366577987035376,0.0,0.9306108295925104,0.6389036224298377,0.2703177188240672,0.52999137134079,0.06912513792204394,0.11832742208445819,0.2558347889724518,1.7791910496144468e-23,0.0442154225140088,8
G2_W3_191.pt,0.010477691376030121,0.05767815784678435,0.3257193944104507,0.0024988336393284554,0.4734618239276909,6.643002126263808e-147,0.17368651349852324,0.6116962633212629,0.3442601653149583,0.9317135486445796,0.18387590955795327,0.6954943812652006,0.9997687272642427,1.0,1.0,6
