thread_id,n_bits,bucket,p_value,p_uniformity,p_min,p_max,total_samples
0,1048576,1,0.0000000013746812577153378,1,0.0000000013746812577153378,0.0000000013746812577153378,1
0,1048576,1,0.0000012078036264462355,1,0.0000000013746812577153378,0.0000012078036264462355,2
0,1048576,1,0.0000009111001788575379,1,0.0000000013746812577153378,0.0000012078036264462355,3
0,1048576,1,0.00001718861836330632,1,0.0000000013746812577153378,0.00001718861836330632,4
0,1048576,1,0.000013933468887339373,1,0.0000000013746812577153378,0.00001718861836330632,5
0,1048576,1,0.00005154905163284873,1,0.0000000013746812577153378,0.00005154905163284873,6
0,1048576,1,0.000013933468887339373,1,0.0000000013746812577153378,0.00005154905163284873,7
0,1048576,1,0.0014844060891356925,1,0.0000000013746812577153378,0.0014844060891356925,8
0,1048576,1,0.00000009502436615349552,1,0.0000000013746812577153378,0.0014844060891356925,9
0,1048576,1,0.0000037861354189594465,0,0.0000000013746812577153378,0.0014844060891356925,10
0,1048576,1,0.0000000070459458267890795,0,0.0000000013746812577153378,0.0014844060891356925,11
0,1048576,1,0.006101045407245431,0,0.0000000013746812577153378,0.006101045407245431,12
0,1048576,1,0.00000000040287195801624875,0,0.00000000040287195801624875,0.006101045407245431,13
0,1048576,1,0.000002412178337074522,0,0.00000000040287195801624875,0.006101045407245431,14
0,1048576,1,0.0000006227452620244378,0,0.00000000040287195801624875,0.006101045407245431,15
0,1048576,1,0.000000001456077480810336,0,0.00000000040287195801624875,0.006101045407245431,16
0,1048576,1,0.000000046118984631249305,0,0.00000000040287195801624875,0.006101045407245431,17
0,1048576,1,0.00000001512320002561296,0,0.00000000040287195801624875,0.006101045407245431,18
0,1048576,1,0.0003135397016815755,0,0.00000000040287195801624875,0.006101045407245431,19
0,1048576,1,0.0010394770304102963,0,0.00000000040287195801624875,0.006101045407245431,20
0,1048576,1,0.0000000024343920212999137,0,0.00000000040287195801624875,0.006101045407245431,21
0,1048576,1,0.00000000017413714914482625,0,0.00000000017413714914482625,0.006101045407245431,22
0,1048576,1,0.000020302235950175884,0,0.00000000017413714914482625,0.006101045407245431,23
0,1048576,1,0.000002891709720120872,0,0.00000000017413714914482625,0.006101045407245431,24
0,1048576,1,0.000000051187580174527625,0,0.00000000017413714914482625,0.006101045407245431,25
0,1048576,1,0.00000006633512450449075,0,0.00000000017413714914482625,0.006101045407245431,26
0,1048576,1,0.007215851038783416,0,0.00000000017413714914482625,0.007215851038783416,27
0,1048576,1,0.00004576194616134899,0,0.00000000017413714914482625,0.007215851038783416,28
0,1048576,1,0.0002527769190465712,0,0.00000000017413714914482625,0.007215851038783416,29
0,1048576,1,0.0000000004535485320644739,0,0.00000000017413714914482625,0.007215851038783416,30
0,1048576,1,0.00000000009469380835014363,0,0.00000000009469380835014363,0.007215851038783416,31
0,1048576,1,0.000401640753893151,0,0.00000000009469380835014363,0.007215851038783416,32
0,1048576,1,0.00000004377065243588163,0,0.00000000009469380835014363,0.007215851038783416,33
0,1048576,1,0.00000003740035103838579,0,0.00000000009469380835014363,0.007215851038783416,34
0,1048576,1,0.0000705613933806859,0,0.00000000009469380835014363,0.007215851038783416,35
