thread_id,n_bits,bucket,p_value,p_uniformity,p_min,p_max,total_samples
0,1048576,1,0.13040155127486217,1,0.13040155127486217,0.13040155127486217,1
0,1048576,1,0.26777180149384844,1,0.13040155127486217,0.26777180149384844,2
0,1048576,1,0.42994792329216575,1,0.13040155127486217,0.42994792329216575,3
0,1048576,1,0.9211779167914876,1,0.13040155127486217,0.9211779167914876,4
0,1048576,1,0.2703181190236616,1,0.13040155127486217,0.9211779167914876,5
0,1048576,1,0.9055400007559212,1,0.13040155127486217,0.9211779167914876,6
0,1048576,1,0.2735185227041559,1,0.13040155127486217,0.9211779167914876,7
0,1048576,1,0.8949330893386817,1,0.13040155127486217,0.9211779167914876,8
0,1048576,1,0.060085418513670136,1,0.060085418513670136,0.9211779167914876,9
0,1048576,1,0.0031545608344456374,0,0.0031545608344456374,0.9211779167914876,10
0,1048576,1,0.3654820034384224,0,0.0031545608344456374,0.9211779167914876,11
0,1048576,1,0.5423759539372305,0,0.0031545608344456374,0.9211779167914876,12
0,1048576,1,0.39644679684905376,0,0.0031545608344456374,0.9211779167914876,13
0,1048576,1,0.9515383063732977,0,0.0031545608344456374,0.9515383063732977,14
0,1048576,1,0.6752531140554026,0,0.0031545608344456374,0.9515383063732977,15
0,1048576,1,0.5160114185053885,0,0.0031545608344456374,0.9515383063732977,16
0,1048576,1,0.9745112185106105,0,0.0031545608344456374,0.9745112185106105,17
0,1048576,1,0.19195665905492865,0,0.0031545608344456374,0.9745112185106105,18
0,1048576,1,0.5476637274192941,0,0.0031545608344456374,0.9745112185106105,19
0,1048576,1,0.2918333902688306,0,0.0031545608344456374,0.9745112185106105,20
0,1048576,1,0.9625530131853517,0,0.0031545608344456374,0.9745112185106105,21
0,1048576,1,0.3881886970352438,0,0.0031545608344456374,0.9745112185106105,22
0,1048576,1,0.9255937527950636,0,0.0031545608344456374,0.9745112185106105,23
0,1048576,1,0.7298959183999809,0,0.0031545608344456374,0.9745112185106105,24
0,1048576,1,0.16658733540502343,0,0.0031545608344456374,0.9745112185106105,25
0,1048576,1,0.8759086310196882,0,0.0031545608344456374,0.9745112185106105,26
0,1048576,1,0.5706132431261581,0,0.0031545608344456374,0.9745112185106105,27
0,1048576,1,0.9495218823411165,0,0.0031545608344456374,0.9745112185106105,28
0,1048576,1,0.26777180149384844,0,0.0031545608344456374,0.9745112185106105,29
0,1048576,1,0.26678054868072765,0,0.0031545608344456374,0.9745112185106105,30
0,1048576,1,0.4540150757311502,0,0.0031545608344456374,0.9745112185106105,31
0,1048576,1,0.9174148491955898,0,0.0031545608344456374,0.9745112185106105,32
0,1048576,1,0.247174957958128,0,0.0031545608344456374,0.9745112185106105,33
0,1048576,1,0.4306169490252712,0,0.0031545608344456374,0.9745112185106105,34
0,1048576,1,0.8936735530645958,0,0.0031545608344456374,0.9745112185106105,35
0,1048576,1,0.10190722902581198,0,0.0031545608344456374,0.9745112185106105,36
0,1048576,1,0.09381974019938455,0,0.0031545608344456374,0.9745112185106105,37
0,1048576,1,0.92062176180478,0,0.0031545608344456374,0.9745112185106105,38
0,1048576,1,0.8612384612082067,0,0.0031545608344456374,0.9745112185106105,39
0,1048576,1,0.1621434854350068,0,0.0031545608344456374,0.9745112185106105,40
0,1048576,1,0.47381572327668925,0,0.0031545608344456374,0.9745112185106105,41
0,1048576,1,0.2436529378488075,0,0.0031545608344456374,0.9745112185106105,42
0,1048576,1,0.38493746431556414,0,0.0031545608344456374,0.9745112185106105,43
0,1048576,1,0.6704051804493576,0,0.0031545608344456374,0.9745112185106105,44
0,1048576,1,0.31508826416992664,0,0.0031545608344456374,0.9745112185106105,45
0,1048576,1,0.9914628212145234,0,0.0031545608344456374,0.9914628212145234,46
0,1048576,1,0.5796429450703728,0,0.0031545608344456374,0.9914628212145234,47
0,1048576,1,0.36826643483043076,0,0.0031545608344456374,0.9914628212145234,48
0,1048576,1,0.7035544098862351,0,0.0031545608344456374,0.9914628212145234,49
0,1048576,1,0.9424230652298553,0,0.0031545608344456374,0.9914628212145234,50
0,1048576,1,0.43181219102844226,0,0.0031545608344456374,0.9914628212145234,51
0,1048576,1,0.990861055818373,0,0.0031545608344456374,0.9914628212145234,52
0,1048576,1,0.913242639466639,0,0.0031545608344456374,0.9914628212145234,53
0,1048576,1,0.40104099631545315,0,0.0031545608344456374,0.9914628212145234,54
0,1048576,1,0.1665574463705909,0,0.0031545608344456374,0.9914628212145234,55
0,1048576,1,0.2505715934053624,0,0.0031545608344456374,0.9914628212145234,56
0,1048576,1,0.6645425369626949,0,0.0031545608344456374,0.9914628212145234,57
0,1048576,1,0.23982237445261256,0,0.0031545608344456374,0.9914628212145234,58
0,1048576,1,0.9113415861518948,0,0.0031545608344456374,0.9914628212145234,59
0,1048576,1,0.07005748258437348,0,0.0031545608344456374,0.9914628212145234,60
0,1048576,1,0.6665160092895062,0,0.0031545608344456374,0.9914628212145234,61
