thread_id,n_bits,bucket,p_value,p_uniformity,p_min,p_max,total_samples
0,1048576,1,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1
0,1048576,1,0.9999999999999956,1,0.9999999999999956,0.9999999999999999,2
0,1048576,1,1,1,0.9999999999999956,1,3
0,1048576,1,1,1,0.9999999999999956,1,4
0,1048576,1,1,1,0.9999999999999956,1,5
0,1048576,1,0.9999999999999999,1,0.9999999999999956,1,6
0,1048576,1,1,1,0.9999999999999956,1,7
0,1048576,1,1,1,0.9999999999999956,1,8
0,1048576,1,1,1,0.9999999999999956,1,9
0,1048576,1,1,0,0.9999999999999956,1,10
0,1048576,1,1,0,0.9999999999999956,1,11
0,1048576,1,1,0,0.9999999999999956,1,12
0,1048576,1,1,0,0.9999999999999956,1,13
0,1048576,1,1,0,0.9999999999999956,1,14
0,1048576,1,1,0,0.9999999999999956,1,15
0,1048576,1,1,0,0.9999999999999956,1,16
0,1048576,1,1,0,0.9999999999999956,1,17
0,1048576,1,1,0,0.9999999999999956,1,18
0,1048576,1,1,0,0.9999999999999956,1,19
0,1048576,1,0.9999999999999999,0,0.9999999999999956,1,20
0,1048576,1,1,0,0.9999999999999956,1,21
0,1048576,1,0.9999999999999956,0,0.9999999999999956,1,22
0,1048576,1,1,0,0.9999999999999956,1,23
0,1048576,1,1,0,0.9999999999999956,1,24
0,1048576,1,1,0,0.9999999999999956,1,25
0,1048576,1,1,0,0.9999999999999956,1,26
0,1048576,1,0.9999999999999999,0,0.9999999999999956,1,27
0,1048576,1,1,0,0.9999999999999956,1,28
0,1048576,1,1,0,0.9999999999999956,1,29
0,1048576,1,1,0,0.9999999999999956,1,30
0,1048576,1,0.9999999999999999,0,0.9999999999999956,1,31
0,1048576,1,1,0,0.9999999999999956,1,32
0,1048576,1,1,0,0.9999999999999956,1,33
0,1048576,1,1,0,0.9999999999999956,1,34
0,1048576,1,0.9999999999999453,0,0.9999999999999453,1,35
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,36
0,1048576,1,1,0,0.9999999999999453,1,37
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,38
0,1048576,1,1,0,0.9999999999999453,1,39
0,1048576,1,1,0,0.9999999999999453,1,40
0,1048576,1,1,0,0.9999999999999453,1,41
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,42
0,1048576,1,1,0,0.9999999999999453,1,43
0,1048576,1,1,0,0.9999999999999453,1,44
0,1048576,1,1,0,0.9999999999999453,1,45
0,1048576,1,1,0,0.9999999999999453,1,46
0,1048576,1,1,0,0.9999999999999453,1,47
0,1048576,1,1,0,0.9999999999999453,1,48
0,1048576,1,1,0,0.9999999999999453,1,49
0,1048576,1,1,0,0.9999999999999453,1,50
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,51
0,1048576,1,1,0,0.9999999999999453,1,52
0,1048576,1,1,0,0.9999999999999453,1,53
0,1048576,1,1,0,0.9999999999999453,1,54
0,1048576,1,1,0,0.9999999999999453,1,55
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,56
0,1048576,1,1,0,0.9999999999999453,1,57
0,1048576,1,1,0,0.9999999999999453,1,58
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,59
0,1048576,1,1,0,0.9999999999999453,1,60
0,1048576,1,1,0,0.9999999999999453,1,61
0,1048576,1,1,0,0.9999999999999453,1,62
0,1048576,1,1,0,0.9999999999999453,1,63
0,1048576,1,1,0,0.9999999999999453,1,64
0,1048576,1,1,0,0.9999999999999453,1,65
0,1048576,1,1,0,0.9999999999999453,1,66
0,1048576,1,1,0,0.9999999999999453,1,67
0,1048576,1,1,0,0.9999999999999453,1,68
0,1048576,1,1,0,0.9999999999999453,1,69
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,70
0,1048576,1,1,0,0.9999999999999453,1,71
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,72
0,1048576,1,1,0,0.9999999999999453,1,73
0,1048576,1,1,0,0.9999999999999453,1,74
0,1048576,1,1,0,0.9999999999999453,1,75
0,1048576,1,1,0,0.9999999999999453,1,76
0,1048576,1,1,0,0.9999999999999453,1,77
0,1048576,1,1,0,0.9999999999999453,1,78
0,1048576,1,1,0,0.9999999999999453,1,79
0,1048576,1,1,0,0.9999999999999453,1,80
0,1048576,1,1,0,0.9999999999999453,1,81
0,1048576,1,1,0,0.9999999999999453,1,82
0,1048576,1,0.9999999999999453,0,0.9999999999999453,1,83
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,84
0,1048576,1,1,0,0.9999999999999453,1,85
0,1048576,1,1,0,0.9999999999999453,1,86
0,1048576,1,1,0,0.9999999999999453,1,87
0,1048576,1,1,0,0.9999999999999453,1,88
0,1048576,1,1,0,0.9999999999999453,1,89
0,1048576,1,1,0,0.9999999999999453,1,90
0,1048576,1,1,0,0.9999999999999453,1,91
0,1048576,1,1,0,0.9999999999999453,1,92
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,93
0,1048576,1,1,0,0.9999999999999453,1,94
0,1048576,1,0.9999999999999956,0,0.9999999999999453,1,95
0,1048576,1,1,0,0.9999999999999453,1,96
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,97
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,98
0,1048576,1,1,0,0.9999999999999453,1,99
0,1048576,1,1,0,0.9999999999999453,1,100
0,1048576,1,0.9999999999999999,0,0.9999999999999453,1,101
