thread_id,n_bits,bucket,p_value,p_uniformity,p_min,p_max,total_samples
0,1048576,1,0.07839952711376141,1,0.07839952711376141,0.07839952711376141,1
0,1048576,1,0.23120392039099658,1,0.07839952711376141,0.23120392039099658,2
0,1048576,1,0.6762335068139542,1,0.07839952711376141,0.6762335068139542,3
0,1048576,1,0.3138009795761344,1,0.07839952711376141,0.6762335068139542,4
0,1048576,1,0.20767144522434278,1,0.07839952711376141,0.6762335068139542,5
0,1048576,1,0.867618011647943,1,0.07839952711376141,0.867618011647943,6
0,1048576,1,0.8690285495092877,1,0.07839952711376141,0.8690285495092877,7
0,1048576,1,0.7770349905604008,1,0.07839952711376141,0.8690285495092877,8
0,1048576,1,0.7977188959914805,1,0.07839952711376141,0.8690285495092877,9
0,1048576,1,0.5037941983844834,0,0.07839952711376141,0.8690285495092877,10
0,1048576,1,0.98998986491969,0,0.07839952711376141,0.98998986491969,11
0,1048576,1,0.6631767288234484,0,0.07839952711376141,0.98998986491969,12
0,1048576,1,0.03338084639595462,0,0.03338084639595462,0.98998986491969,13
0,1048576,1,0.9528356257906517,0,0.03338084639595462,0.98998986491969,14
0,1048576,1,0.4334863928796263,0,0.03338084639595462,0.98998986491969,15
0,1048576,1,0.3439752474663662,0,0.03338084639595462,0.98998986491969,16
0,1048576,1,0.2498707844450948,0,0.03338084639595462,0.98998986491969,17
0,1048576,1,0.846512961997395,0,0.03338084639595462,0.98998986491969,18
0,1048576,1,0.14067577606795412,0,0.03338084639595462,0.98998986491969,19
0,1048576,1,0.16922382215904563,0,0.03338084639595462,0.98998986491969,20
0,1048576,1,0.9243208219987659,0,0.03338084639595462,0.98998986491969,21
0,1048576,1,0.8549426584879256,0,0.03338084639595462,0.98998986491969,22
0,1048576,1,0.10948034657585115,0,0.03338084639595462,0.98998986491969,23
0,1048576,1,0.5398960679627097,0,0.03338084639595462,0.98998986491969,24
0,1048576,1,0.9885599374954791,0,0.03338084639595462,0.98998986491969,25
0,1048576,1,0.9385683771287288,0,0.03338084639595462,0.98998986491969,26
0,1048576,1,0.20767144522434278,0,0.03338084639595462,0.98998986491969,27
