timestamp,stream_id,layer_idx,shake,old_score,new_score,gain
2025-12-26 16:25:16,0,3,0.000000024130,0.96826599,0.96862661,0.00036062
2025-12-26 16:25:16,5,0,0.000000038468,0.97004725,0.97049190,0.00044465
2025-12-26 16:25:16,6,1,0.000000064259,0.97006746,0.97033140,0.00026394
2025-12-26 16:25:16,1,6,0.000000069481,0.96433151,0.96477989,0.00044838
2025-12-26 16:25:16,8,0,0.000000066001,0.96403737,0.96454133,0.00050396
2025-12-26 16:25:16,3,7,0.000000177989,0.96616330,0.96656212,0.00039882
2025-12-26 16:25:16,7,6,0.000000030579,0.96787345,0.96822111,0.00034766
2025-12-26 16:25:17,6,5,0.000000016194,0.97033140,0.97100862,0.00067723
2025-12-26 16:25:17,1,5,0.000000069607,0.96477989,0.96505600,0.00027611
2025-12-26 16:25:17,5,7,0.000000018487,0.97049190,0.97084789,0.00035599
2025-12-26 16:25:17,1,1,0.000000044698,0.96505600,0.96530873,0.00025273
2025-12-26 16:25:18,3,0,0.000000071096,0.96656212,0.96666316,0.00010104
2025-12-26 16:25:18,8,2,0.000000018686,0.96454133,0.96471608,0.00017475
2025-12-26 16:25:18,2,6,0.000000049504,0.96624598,0.96638531,0.00013934
2025-12-26 16:25:18,8,6,0.000000201972,0.96471608,0.96472998,0.00001390
2025-12-26 16:25:19,0,3,0.000000050566,0.96862661,0.96913463,0.00050802
2025-12-26 16:25:19,8,3,0.000000139592,0.96472998,0.96481455,0.00008457
2025-12-26 16:25:21,8,1,0.000000233008,0.96481455,0.96531598,0.00050143
2025-12-26 16:25:21,4,4,0.000000272951,0.96692041,0.96703014,0.00010973
2025-12-26 16:25:22,2,3,0.000000091382,0.96638531,0.96640650,0.00002118
2025-12-26 16:25:23,5,3,0.000000036065,0.97084789,0.97092145,0.00007356
2025-12-26 16:25:23,3,5,0.000000087849,0.96666316,0.96676137,0.00009821
2025-12-26 16:25:24,4,1,0.000000085491,0.96703014,0.96711872,0.00008859
2025-12-26 16:25:27,2,6,0.000000197829,0.96640650,0.96660597,0.00019947
2025-12-26 16:25:28,5,0,0.000000075502,0.97092145,0.97116693,0.00024547
2025-12-26 16:25:29,3,4,0.000000297899,0.96676137,0.96693970,0.00017833
2025-12-26 16:25:30,1,2,0.000000312225,0.96530873,0.96562784,0.00031910
2025-12-26 16:25:30,2,7,0.000000123865,0.96660597,0.96699467,0.00038870
2025-12-26 16:25:33,0,4,0.000000233360,0.96913463,0.96916584,0.00003121
2025-12-26 16:25:37,8,2,0.000000076251,0.96531598,0.96550274,0.00018676
2025-12-26 16:25:46,4,2,0.000000053208,0.96711872,0.96714451,0.00002579
2025-12-26 16:25:50,6,6,0.000000015332,0.97100862,0.97118341,0.00017479
2025-12-26 16:25:55,3,7,0.000000014533,0.96693970,0.96698039,0.00004069
2025-12-26 16:25:57,3,5,0.000000147818,0.96698039,0.96730471,0.00032432
2025-12-26 16:26:02,7,0,0.000000097774,0.96822111,0.96848463,0.00026352
2025-12-26 16:26:04,7,1,0.000000242100,0.96848463,0.96850650,0.00002187
2025-12-26 16:26:10,4,5,0.000000022184,0.96714451,0.96738927,0.00024477
2025-12-26 16:26:11,1,1,0.000000043703,0.96562784,0.96563402,0.00000618
2025-12-26 16:26:26,4,2,0.000000100366,0.96738927,0.96739366,0.00000438
2025-12-26 16:26:35,0,7,0.000000073528,0.96916584,0.96935976,0.00019392
2025-12-26 16:26:52,4,0,0.000000025120,0.96739366,0.96759748,0.00020383
2025-12-26 16:26:59,6,1,0.000000045504,0.97118341,0.97119575,0.00001234
2025-12-26 16:27:07,3,0,0.000000022579,0.96730471,0.96746104,0.00015634
2025-12-26 16:27:37,5,3,0.000000060618,0.97116693,0.97118527,0.00001834
2025-12-26 16:27:59,0,6,0.000000041776,0.96935976,0.96946125,0.00010148
2025-12-26 16:28:09,6,1,0.000000139279,0.97119575,0.97126189,0.00006614
2025-12-26 16:28:14,6,1,0.000000043597,0.97126189,0.97131983,0.00005793
2025-12-26 16:30:40,5,0,0.000000127763,0.97118527,0.97122097,0.00003570
2025-12-26 16:32:07,8,3,0.000000079181,0.96550274,0.96559450,0.00009176
2025-12-26 16:32:28,8,6,0.000000125340,0.96559450,0.96564923,0.00005473
2025-12-26 16:32:37,0,5,0.000000204811,0.96946125,0.96947032,0.00000907
2025-12-26 16:33:03,7,7,0.000000188746,0.96850650,0.96865856,0.00015206
2025-12-26 16:34:00,6,2,0.000000012495,0.97131983,0.97134772,0.00002789
2025-12-26 16:34:28,6,1,0.000000015474,0.97134772,0.97135279,0.00000507
2025-12-26 16:35:07,1,5,0.000000017011,0.96563402,0.96568802,0.00005400
2025-12-26 16:36:41,6,2,0.000000148302,0.97135279,0.97135848,0.00000569
2025-12-26 16:39:00,0,3,0.000000115892,0.96947032,0.96952019,0.00004987
2025-12-26 16:40:20,5,5,0.000000045398,0.97122097,0.97136756,0.00014659
