timestamp,stream_id,layer_idx,shake,old_score,new_score,gain
2025-12-26 19:01:56,2,5,0.000000000043208356,-0.5107264747,-0.5093708680,0.0013556066
2025-12-26 19:01:56,1,1,0.000000000000026033,-0.4913991108,-0.4814456631,0.0099534477
2025-12-26 19:01:56,6,4,0.000000000000045964,-0.4230144636,-0.4059650123,0.0170494513
2025-12-26 19:01:56,2,6,0.000000000058280707,-0.5093708680,-0.5043462085,0.0050246596
2025-12-26 19:01:56,5,1,0.000000000000019673,-0.3958308743,-0.3957864858,0.0000443885
2025-12-26 19:01:56,8,9,0.000000000022359893,-0.4378965661,-0.4120545786,0.0258419875
2025-12-26 19:01:56,3,0,0.000000000063739394,-0.5477940032,-0.5326386743,0.0151553289
2025-12-26 19:01:56,0,8,0.000000000034381149,-0.3672909862,-0.3598747705,0.0074162156
2025-12-26 19:01:56,2,8,0.000000000000001739,-0.5043462085,-0.4999150451,0.0044311634
2025-12-26 19:01:56,1,5,0.000000000075544255,-0.4814456631,-0.4685947909,0.0128508722
2025-12-26 19:01:56,4,6,0.000000000014850186,-0.5853485877,-0.5640741246,0.0212744632
2025-12-26 19:01:56,2,1,0.000000000000016500,-0.4999150451,-0.4935665926,0.0063484525
2025-12-26 19:01:57,0,7,0.000000000000375921,-0.3598747705,-0.3445641526,0.0153106180
2025-12-26 19:01:57,4,7,0.000000000000513629,-0.5640741246,-0.5629154363,0.0011586882
2025-12-26 19:01:57,6,5,0.000000000000017150,-0.4059650123,-0.3955363692,0.0104286431
2025-12-26 19:01:57,5,8,0.000000000015768558,-0.3957864858,-0.3898440981,0.0059423877
2025-12-26 19:01:57,2,4,0.000000000001396103,-0.4935665926,-0.4902764420,0.0032901506
2025-12-26 19:01:57,0,2,0.000000000019964284,-0.3445641526,-0.3320514891,0.0125126635
2025-12-26 19:01:57,3,9,0.000000000000080421,-0.5326386743,-0.5268306515,0.0058080228
2025-12-26 19:01:57,2,6,0.000000000000004994,-0.4902764420,-0.4800787689,0.0101976731
2025-12-26 19:01:57,2,1,0.000000000011812084,-0.4800787689,-0.4775601866,0.0025185823
2025-12-26 19:01:57,3,0,0.000000000000049601,-0.5268306515,-0.5255468972,0.0012837543
2025-12-26 19:01:57,5,4,0.000000000000005654,-0.3898440981,-0.3557693289,0.0340747692
2025-12-26 19:01:58,2,9,0.000000000000001748,-0.4775601866,-0.4757669368,0.0017932498
2025-12-26 19:01:58,4,0,0.000000000024213431,-0.5629154363,-0.5572048237,0.0057106126
